market,side,signal_i,signal_time,break_i,retest_i,level,fight_low,fight_high,atr,volume_ratio,strength
SEMI,SHORT,1482,2024-07-17 15:30:00-04:00,1479,1480,247.3000030517578,244.10000610351562,247.6999969482422,2.6806367011189347,3.7764501227771503,1.3730457020089988
SEMI,SHORT,1490,2024-07-19 09:30:00-04:00,1484,1486,242.78500366210938,240.0,245.2100067138672,3.032503105141103,1.4450851290236766,0.6333871263852588
SEMI,SHORT,1496,2024-07-19 15:30:00-04:00,1493,1494,237.60000610351562,236.41000366210938,238.9199981689453,2.727934502415182,1.647940441857259,0.5566466011332434
SEMI,SHORT,1516,2024-07-24 14:30:00-04:00,1513,1514,234.33999633789062,232.1999969482422,234.3300018310547,2.4318858244847648,1.454841822469491,1.0976364963944198
SEMI,SHORT,1524,2024-07-25 15:30:00-04:00,1517,1520,230.42999267578125,226.48500061035156,232.05499267578125,3.1042660919702914,2.0517399102000726,1.3040286526405929
SEMI,SHORT,1560,2024-08-02 09:30:00-04:00,1556,1557,219.83999633789062,215.58999633789062,219.8000030517578,3.97111731081504,4.42621984513628,3.082534552970566
SEMI,LONG,1609,2024-08-13 09:30:00-04:00,1602,1603,213.6750030517578,211.85000610351562,215.5500030517578,2.6731130679468253,1.8164115264801401,1.2002812397891247
SEMI,LONG,1615,2024-08-13 15:30:00-04:00,1612,1613,220.16000366210938,219.42999267578125,221.47799682617188,2.370381824348705,3.170623630868203,1.1189671966631558
SEMI,SHORT,1713,2024-09-03 15:30:00-04:00,1709,1710,217.35000610351562,213.75619506835938,217.33999633789062,2.7037274672596454,3.374864280897936,1.0984528131694826
SEMI,LONG,1895,2024-10-09 15:30:00-04:00,1891,1892,234.38999938964844,233.14999389648438,234.9600067138672,1.5743270573985357,1.5303462014854026,0.6498487302884833
SEMI,SHORT,1922,2024-10-15 14:30:00-04:00,1918,1919,231.6719970703125,227.97000122070312,231.3300018310547,2.027923457924231,1.0787091540352216,1.1485571412123088
SEMI,SHORT,1930,2024-10-16 15:30:00-04:00,1922,1925,227.97000122070312,227.36500549316406,229.67999267578125,1.7303575170417844,2.114135301948445,0.736501691669096
SEMI,LONG,1992,2024-10-29 14:30:00-04:00,1989,1990,233.07000732421875,232.75,234.49000549316406,1.4089470175426968,1.7219346899537888,1.6388088434229915
SEMI,LONG,2036,2024-11-07 09:30:00-05:00,2032,2033,227.7899932861328,227.6649932861328,229.1699981689453,1.7495800631057172,3.0451210929326704,2.8555914106278424
SEMI,SHORT,2064,2024-11-13 09:30:00-05:00,2060,2061,221.50999450683594,221.1999969482422,223.19000244140625,1.670360381737542,1.8505385483744161,1.7243861274363308
SEMI,SHORT,2241,2024-12-19 15:30:00-05:00,2235,2236,213.9499969482422,212.11000061035156,215.1699981689453,2.07269922055274,1.769083943594763,0.6765417565941405
SEMI,SHORT,2281,2024-12-31 10:30:00-05:00,2273,2275,218.86000061035156,216.32000732421875,219.2899932861328,1.6806572981773413,1.0902540748717762,0.38722332123346204
SEMI,LONG,2298,2025-01-03 13:30:00-05:00,2295,2296,220.22000122070312,220.25999450683594,221.83999633789062,1.707689661992381,1.064333161575855,0.8408155818111083
SEMI,LONG,2301,2025-01-06 09:30:00-05:00,2296,2297,220.41000366210938,220.72999572753906,223.0399932861328,2.1390067390534586,6.3949263639740686,5.095363331815135
SEMI,LONG,2357,2025-01-17 09:30:00-05:00,2350,2354,224.63999938964844,223.5399932861328,226.41000366210938,2.1098173094837396,2.4951640669264896,1.6327397347262669
SEMI,LONG,2362,2025-01-17 14:30:00-05:00,2357,2358,227.7899932861328,228.1300048828125,229.74000549316406,1.7048154751192983,1.3879700872349754,0.47438172637945164
SEMI,LONG,2366,2025-01-21 11:30:00-05:00,2362,2363,229.74000549316406,229.69000244140625,232.0,1.6711475537795595,2.5480654006296333,1.8247357210478818
SEMI,LONG,2371,2025-01-22 09:30:00-05:00,2367,2368,233.7100067138672,232.49000549316406,234.5800018310547,1.7928420231242939,2.757023084910432,2.0345549513395045
SEMI,SHORT,2392,2025-01-27 09:30:00-05:00,2388,2389,231.2100067138672,229.7100067138672,231.1199951171875,2.2870493051219944,13.104211477103627,6.116854876473338
SEMI,LONG,2489,2025-02-13 15:30:00-05:00,2483,2486,221.1699981689453,220.77000427246094,222.70590209960938,1.3040913264138303,1.9906837237837716,0.7625609137863725
SEMI,LONG,2497,2025-02-18 09:30:00-05:00,2490,2491,222.99000549316406,221.9199981689453,223.75,1.3605082824111523,3.6048593942424327,2.242184603544753
SEMI,LONG,2505,2025-02-19 10:30:00-05:00,2502,2503,226.8000030517578,226.25999450683594,228.5399932861328,1.3911787408968272,2.558432016774465,1.7369608897458053
SEMI,SHORT,2525,2025-02-24 09:30:00-05:00,2522,2523,224.4949951171875,223.24249267578125,224.61000061035156,1.8783827833588995,3.044493214215468,1.8105331184709996
SEMI,SHORT,2556,2025-02-28 12:30:00-05:00,2552,2554,207.0303955078125,207.00999450683594,210.02000427246094,2.695305407142381,1.4408970168935293,1.1629661100768383
SEMI,SHORT,2602,2025-03-11 09:30:00-04:00,2598,2599,195.0800018310547,191.56080627441406,195.4199981689453,3.0498080803340804,1.4349666088196102,0.7933584759086236
SEMI,LONG,2630,2025-03-17 09:30:00-04:00,2624,2625,200.47000122070312,200.0,201.7050018310547,2.349417445926555,1.2811195757299403,0.6739103464332432
SEMI,LONG,2634,2025-03-17 13:30:00-04:00,2630,2631,201.7050018310547,201.72000122070312,203.5050048828125,2.159270999614849,1.2928159601125524,1.2159221342456576
SEMI,SHORT,2686,2025-03-27 09:30:00-04:00,2681,2682,198.94000244140625,196.44000244140625,198.75,1.7795611119395254,2.2643463995219335,1.1762343637088328
SEMI,SHORT,2700,2025-03-31 09:30:00-04:00,2695,2696,189.16000366210938,187.4499969482422,189.6999969482422,2.029235985157932,2.6340939931672405,2.8295004968117077
SEMI,SHORT,2707,2025-04-01 09:30:00-04:00,2700,2705,187.4499969482422,186.22000122070312,188.3000030517578,2.0458742094086113,1.674332690205796,1.4232688152040565
