ticker,strategy,scheme,mrs_v2,regime_v2,signal_time,entry_time,entry_i,signal_i,planned_seed,reserved_risk,risk_pct_first,regime_risk_mult,dd_mult_at_entry,equity_at_entry,mtm_dd_at_entry,first_entry,structural_stop,active_stop,common_one_r,common_target,anchor,atr,box_high,shares,buy_notional,sell_notional,fees,cash_out,cash_in,partial_taken,added30,added50,pending_confirm50,confirm50_skip,last_mark,exit_time,exit_price,exit_reason,status,pnl,cash_after_exit,actual_capital_used,fill_count,fill_detail,event_detail,confirm_bar_time
PEP,C,S3,3,BULL_STRONG,2024-01-05 15:30:00-05:00,2024-01-08 09:30:00-05:00,563,562,992.9147022268255,9.324317321782527,0.009390854320991252,1.0,1.0,4964.573511134127,0.00708529777317457,168.94000244140625,167.3535114894911,167.3535114894911,170.5264933933214,172.11298434523655,168.94000244140625,0.825944276410648,,0.0,992.9147022268255,984.0225579236917,0.9884686300752586,993.411159577939,983.5305466447298,False,True,True,False,,167.7899932861328,2024-01-09 14:30:00+00:00,167.3535114894911,stop,LOSS,-9.880612933209136,4954.692898200918,992.9147022268255,3,"[{""time"": ""2024-01-08 14:30:00+00:00"", ""price"": 168.94000244140625, ""fraction"": 0.2, ""shares"": 1.1754642925037246, ""reason"": ""starter20""}, {""time"": ""2024-01-08 14:30:00+00:00"", ""price"": 168.52703030320092, ""fraction"": 0.3, ""shares"": 1.7675171165844128, ""reason"": ""adverse30""}, {""time"": ""2024-01-08 18:30:00+00:00"", ""price"": 169.0399932861328, ""fraction"": 0.5, ""shares"": 2.9369224493109325, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2024-01-09 14:30:00+00:00"", ""price"": 167.3535114894911, ""shares"": 5.87990385839907, ""reason"": ""stop""}]",2024-01-08 17:30:00+00:00
UNH,C,S3,3,BULL_STRONG,2024-01-12 15:30:00-05:00,2024-01-16 09:30:00-05:00,598,597,990.9385796401835,18.499054086779427,0.01866821462688087,1.0,1.0,4954.692898200918,0.009061420359816497,522.0,512.2551919647682,512.2551919647682,531.7448080352318,541.4896160704636,522.0,3.499251672177276,,0.0,990.9385796401835,958.9436235302105,0.974941101585197,991.4340489300037,958.4641517184455,False,True,True,False,,505.2300109863281,2024-01-18 14:30:00+00:00,505.2300109863281,gap_stop,LOSS,-32.96989721155819,4921.723000989359,990.9385796401835,3,"[{""time"": ""2024-01-16 14:30:00+00:00"", ""price"": 522.0, ""fraction"": 0.2, ""shares"": 0.3796699538851278, ""reason"": ""starter20""}, {""time"": ""2024-01-16 14:30:00+00:00"", ""price"": 520.2503741639114, ""fraction"": 0.3, ""shares"": 0.5714202019937284, ""reason"": ""adverse30""}, {""time"": ""2024-01-16 15:30:00+00:00"", ""price"": 523.22998046875, ""fraction"": 0.5, ""shares"": 0.9469436162205612, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2024-01-18 14:30:00+00:00"", ""price"": 505.2300109863281, ""shares"": 1.8980337720994176, ""reason"": ""gap_stop""}]",2024-01-16 14:30:00+00:00
NFLX,C,S3,3,BULL_STRONG,2024-01-18 09:30:00-05:00,2024-01-18 10:30:00-05:00,613,612,984.5585365627463,17.284018275600996,0.017555094627427954,1.0,1.0,4922.7926828137315,0.015441463437253722,48.29650115966797,47.448651511636314,48.29650115966797,49.144350807699624,49.99220045573128,48.29650115966797,0.4334365559938098,,0.0,492.2792682813732,497.94331996323285,0.49511129412230304,492.5254079155138,497.6943483032512,True,True,False,False,,48.49100112915039,2024-01-23 16:30:00+00:00,48.29650115966797,stop,BE_STOP,5.168940387737393,3749.74564363553,492.2792682813732,2,"[{""time"": ""2024-01-18 15:30:00+00:00"", ""price"": 48.29650115966797, ""fraction"": 0.2, ""shares"": 4.077142289491329, ""reason"": ""starter20""}, {""time"": ""2024-01-19 14:30:00+00:00"", ""price"": 48.079782881671065, ""fraction"": 0.3, ""shares"": 6.143279841669662, ""reason"": ""adverse30""}]","[{""time"": ""2024-01-23 14:30:00+00:00"", ""price"": 49.144350807699624, ""shares"": 5.110211065580495, ""reason"": ""partial_1R""}, {""time"": ""2024-01-23 16:30:00+00:00"", ""price"": 48.29650115966797, ""shares"": 5.110211065580495, ""reason"": ""stop""}]",
META,C,S3,3,BULL_STRONG,2024-01-17 15:30:00-05:00,2024-01-18 09:30:00-05:00,612,611,984.3446001978718,35.94271772813551,0.03651436470613071,1.0,1.0,4921.723000989359,0.015655399802128156,371.489990234375,357.9252692462801,371.489990234375,385.0547112224699,398.6194322105648,371.489990234375,2.7388644211295565,,0.0,196.8689200395744,203.8455637661272,0.2003572419028508,196.96735449959417,203.7436409842441,True,False,False,False,,383.06201171875,2024-01-23 19:30:00+00:00,384.2550048828125,time,TIME,6.776286484649944,3851.51156719307,196.8689200395744,1,"[{""time"": ""2024-01-18 14:30:00+00:00"", ""price"": 371.489990234375, ""fraction"": 0.2, ""shares"": 0.5299440771348072, ""reason"": ""starter20""}]","[{""time"": ""2024-01-22 14:30:00+00:00"", ""price"": 385.0547112224699, ""shares"": 0.2649720385674036, ""reason"": ""partial_1R""}, {""time"": ""2024-01-23 19:30:00+00:00"", ""price"": 384.2550048828125, ""shares"": 0.2649720385674036, ""reason"": ""time""}]",
AMZN,C,S3,3,BULL_STRONG,2024-01-18 09:30:00-05:00,2024-01-18 10:30:00-05:00,613,612,984.5782281273089,20.263338416462567,0.020580729735415658,1.0,1.0,4922.891140636544,0.015421771872691115,152.7899932861328,149.64546372803494,152.7899932861328,155.93452284423068,159.07905240232856,152.7899932861328,1.0581597362977144,,0.0,196.9156456254618,201.02339751376968,0.19896952156961573,197.0141034482745,200.9228858150128,True,False,False,False,,155.65170288085938,2024-01-23 20:30:00+00:00,156.02000427246094,time,TIME,3.9087823667382793,3952.0005384320325,196.9156456254618,1,"[{""time"": ""2024-01-18 15:30:00+00:00"", ""price"": 152.7899932861328, ""fraction"": 0.2, ""shares"": 1.2887993604181525, ""reason"": ""starter20""}]","[{""time"": ""2024-01-22 14:30:00+00:00"", ""price"": 155.93452284423068, ""shares"": 0.6443996802090762, ""reason"": ""partial_1R""}, {""time"": ""2024-01-23 20:30:00+00:00"", ""price"": 156.02000427246094, ""shares"": 0.6443996802090762, ""reason"": ""time""}]",
LLY,C,S3,3,BULL_STRONG,2024-01-18 14:30:00-05:00,2024-01-18 15:30:00-05:00,618,617,985.0839298315365,18.133023155402448,0.018407592090659175,1.0,1.0,4925.419649157682,0.014916070168463524,623.02001953125,611.5517211474042,623.02001953125,634.4883179150958,645.9566162989415,623.02001953125,4.593164238508175,,0.0,985.0839298315366,1005.3170865799542,0.9952005082057453,985.5764717964523,1004.8144280366641,True,True,True,False,,636.9600219726562,2024-01-24 18:30:00+00:00,636.9149780273438,time,TIME,19.237956240211815,4956.814966468696,985.0839298315366,3,"[{""time"": ""2024-01-18 20:30:00+00:00"", ""price"": 623.02001953125, ""fraction"": 0.2, ""shares"": 0.316228660059013, ""reason"": ""starter20""}, {""time"": ""2024-01-19 14:30:00+00:00"", ""price"": 620.7234374119959, ""fraction"": 0.3, ""shares"": 0.4760979868612735, ""reason"": ""adverse30""}, {""time"": ""2024-01-19 15:30:00+00:00"", ""price"": 624.1799926757812, ""fraction"": 0.5, ""shares"": 0.7891024555341845, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2024-01-24 14:30:00+00:00"", ""price"": 634.4883179150958, ""shares"": 0.7907145512272356, ""reason"": ""partial_1R""}, {""time"": ""2024-01-24 18:30:00+00:00"", ""price"": 636.9149780273438, ""shares"": 0.7907145512272356, ""reason"": ""time""}]",2024-01-19 14:30:00+00:00
ISRG,C,S3,3,BULL_STRONG,2024-01-25 09:30:00-05:00,2024-01-25 10:30:00-05:00,648,647,991.3629932937392,35.51996702242507,0.035829426015199825,1.0,1.0,4956.814966468696,0.008637006706260775,374.5450134277344,361.12528057976334,361.12528057976334,387.9647462757054,401.38447912367644,374.5450134277344,4.058936274696739,,0.0,991.3629932937392,1004.1114145088078,0.9977372039012735,991.8586747903861,1003.6093588015534,False,True,True,False,,378.260009765625,2024-01-30 20:30:00+00:00,377.25,time,TIME,11.750684011167323,4968.5656504798635,991.3629932937392,3,"[{""time"": ""2024-01-25 15:30:00+00:00"", ""price"": 374.5450134277344, ""fraction"": 0.2, ""shares"": 0.5293692121120791, ""reason"": ""starter20""}, {""time"": ""2024-01-25 15:30:00+00:00"", ""price"": 372.515545290386, ""fraction"": 0.3, ""shares"": 0.7983798307162817, ""reason"": ""adverse30""}, {""time"": ""2024-01-26 14:30:00+00:00"", ""price"": 371.6000061035156, ""fraction"": 0.5, ""shares"": 1.3339114330067825, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2024-01-30 20:30:00+00:00"", ""price"": 377.25, ""shares"": 2.661660475835143, ""reason"": ""time""}]",2024-01-25 20:30:00+00:00
META,C,S3,3,BULL_STRONG,2024-02-01 09:30:00-05:00,2024-02-01 10:30:00-05:00,683,682,993.5701772585758,32.60324704825962,0.032814236774112285,1.0,1.0,4967.850886292878,0.00642982274142434,399.2300109863281,386.1295828784913,399.2300109863281,412.33043909416494,425.43086720200176,399.2300109863281,3.8816929000973888,,0.0,496.7850886292879,522.765341064643,0.5097752148469654,497.03348117360247,522.5039583941107,True,True,False,False,,457.3599853515625,2024-02-02 14:30:00+00:00,425.43086720200176,target,WIN,25.4704772205082,3502.844290285775,496.7850886292879,2,"[{""time"": ""2024-02-01 15:30:00+00:00"", ""price"": 399.2300109863281, ""fraction"": 0.2, ""shares"": 0.4977432306774158, ""reason"": ""starter20""}, {""time"": ""2024-02-01 15:30:00+00:00"", ""price"": 397.28916453627943, ""fraction"": 0.3, ""shares"": 0.7502622265711292, ""reason"": ""adverse30""}]","[{""time"": ""2024-02-02 14:30:00+00:00"", ""price"": 412.33043909416494, ""shares"": 0.6240027286242725, ""reason"": ""partial_1R""}, {""time"": ""2024-02-02 14:30:00+00:00"", ""price"": 425.43086720200176, ""shares"": 0.6240027286242725, ""reason"": ""target""}]",
MELI,C,S3,3,BULL_STRONG,2024-02-01 09:30:00-05:00,2024-02-01 10:30:00-05:00,683,682,993.5900490595568,24.979286255056614,0.02514043521138297,1.0,1.0,4967.950245297784,0.006409950940443165,1745.0,1701.1299405561367,1701.1299405561367,1788.8700594438633,1832.7401188877266,1745.0,16.680433087953357,,0.0,993.5900490595568,968.1015469497376,0.9808457980046472,994.0868440840866,967.6174961762626,False,True,True,False,,1723.0849609375,2024-02-06 15:30:00+00:00,1701.1299405561367,stop,LOSS,-26.46934790782393,4470.461786462038,993.5900490595568,3,"[{""time"": ""2024-02-01 15:30:00+00:00"", ""price"": 1745.0, ""fraction"": 0.2, ""shares"": 0.11387851565152514, ""reason"": ""starter20""}, {""time"": ""2024-02-01 15:30:00+00:00"", ""price"": 1736.6597834560234, ""fraction"": 0.3, ""shares"": 0.171638116778798, ""reason"": ""adverse30""}, {""time"": ""2024-02-01 20:30:00+00:00"", ""price"": 1751.8900146484375, ""fraction"": 0.5, ""shares"": 0.28357660605164947, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2024-02-06 15:30:00+00:00"", ""price"": 1701.1299405561367, ""shares"": 0.5690932384819727, ""reason"": ""stop""}]",2024-02-01 19:30:00+00:00
PANW,C,S3,3,BULL_STRONG,2024-01-31 12:30:00-05:00,2024-01-31 13:30:00-05:00,679,678,993.7131300959727,27.710824281040534,0.02788614082050443,1.0,1.0,4968.5656504798635,0.00628686990402727,170.69000244140625,165.93011699667295,165.93011699667295,175.44988788613955,180.20977333087285,170.69000244140625,1.6195588687769324,,0.0,496.85656504798635,492.7748913981183,0.4948157282230523,497.1049933305103,492.52850395241927,False,True,False,False,,169.67999267578125,2024-02-06 16:30:00+00:00,168.80499267578125,time,TIME,-4.576489378091026,4962.990290414457,496.85656504798635,2,"[{""time"": ""2024-01-31 18:30:00+00:00"", ""price"": 170.69000244140625, ""fraction"": 0.2, ""shares"": 1.1643483694214491, ""reason"": ""starter20""}, {""time"": ""2024-01-31 18:30:00+00:00"", ""price"": 169.88022300701778, ""fraction"": 0.3, ""shares"": 1.754847820140174, ""reason"": ""adverse30""}]","[{""time"": ""2024-02-06 16:30:00+00:00"", ""price"": 168.80499267578125, ""shares"": 2.919196189561623, ""reason"": ""time""}]",
