time,ticker,reason,mrs_v2
2026-02-10 19:30:00+00:00,KO,MRS_CASH,-3.0
2026-02-11 20:30:00+00:00,TMUS,MRS_CASH,-3.0
2026-02-17 18:30:00+00:00,CVX,MRS_CASH,-3.0
2026-02-26 19:30:00+00:00,ABBV,MRS_CASH,-3.0
2026-02-27 15:30:00+00:00,AMAT,MRS_CASH,-3.0
2026-02-27 20:30:00+00:00,ADI,MRS_CASH,-3.0
2026-03-02 17:30:00+00:00,AAPL,MRS_CASH,-3.0
2026-03-03 19:30:00+00:00,KO,MRS_CASH,-3.0
2026-03-03 20:30:00+00:00,PEP,MRS_CASH,-3.0
2026-03-24 14:30:00+00:00,XOM,MRS_CASH,-3.0
2026-04-01 13:30:00+00:00,CVX,MRS_CASH,-5.0
2026-04-01 13:30:00+00:00,XOM,MRS_CASH,-5.0
2026-04-15 19:30:00+00:00,AMAT,TOTAL_RISK_CAP,3.0
2026-04-29 14:30:00+00:00,MU,TOTAL_RISK_CAP,3.0
2026-04-29 15:30:00+00:00,AMD,TOTAL_RISK_CAP,3.0
2026-05-13 13:30:00+00:00,AMD,TOTAL_RISK_CAP,3.0
2026-05-13 13:30:00+00:00,MU,TOTAL_RISK_CAP,3.0
2026-06-04 17:30:00+00:00,MU,TOTAL_RISK_CAP,3.0
2026-06-04 18:30:00+00:00,AMD,TOTAL_RISK_CAP,3.0
2026-07-17 17:30:00+00:00,META,MRS_CASH,-3.0
2026-07-20 15:30:00+00:00,AMZN,MRS_CASH,-5.0
2026-07-20 16:30:00+00:00,MELI,MRS_CASH,-5.0
2026-07-24 13:30:00+00:00,MA,MRS_CASH,-5.0
2026-07-30 16:30:00+00:00,JPM,MRS_CASH,-5.0
2026-07-30 17:30:00+00:00,ABBV,MRS_CASH,-5.0
2026-07-30 17:30:00+00:00,ADBE,MRS_CASH,-5.0
2026-07-30 17:30:00+00:00,ADP,MRS_CASH,-5.0
2026-07-30 17:30:00+00:00,CRM,MRS_CASH,-5.0
2026-07-30 17:30:00+00:00,INTU,MRS_CASH,-5.0
2026-07-30 18:30:00+00:00,BKNG,MRS_CASH,-5.0
2026-08-04 17:30:00+00:00,XOM,MRS_CASH,-3.0
