yf_ticker,symbol,name,bars,first,last,setups,status
0126Z0.KS,0126Z0,삼성에피스홀딩스,1042,2025-11-25 09:00:00+09:00,2026-08-12 14:00:00+09:00,13,OK
015760.KS,015760,한국전력,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,63,OK
017670.KS,017670,SK텔레콤,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,67,OK
018260.KS,018260,삼성에스디에스,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,79,OK
024110.KS,024110,기업은행,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,73,OK
028260.KS,028260,삼성물산,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,68,OK
030200.KS,030200,KT,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,79,OK
032830.KS,032830,삼성생명,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,79,OK
033780.KS,033780,KT&G,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,88,OK
034020.KS,034020,두산에너빌리티,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,71,OK
034730.KS,034730,SK,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,72,OK
035420.KS,035420,NAVER,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,56,OK
035720.KS,035720,카카오,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,50,OK
042660.KS,042660,한화오션,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,70,OK
047050.KS,047050,포스코인터내셔널,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,68,OK
051910.KS,051910,LG화학,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,54,OK
055550.KS,055550,신한지주,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,84,OK
064350.KS,064350,현대로템,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,75,OK
066570.KS,066570,LG전자,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,61,OK
068270.KS,068270,셀트리온,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,81,OK
086790.KS,086790,하나금융지주,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,81,OK
096770.KS,096770,SK이노베이션,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,74,OK
105560.KS,105560,KB금융,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,70,OK
207940.KS,207940,삼성바이오로직스,4266,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,63,OK
259960.KS,259960,크래프톤,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,82,OK
267260.KS,267260,HD현대일렉트릭,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,83,OK
298040.KS,298040,효성중공업,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,85,OK
316140.KS,316140,우리금융지주,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,81,OK
323410.KS,323410,카카오뱅크,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,64,OK
329180.KS,329180,HD현대중공업,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,71,OK
352820.KS,352820,하이브,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,61,OK
373220.KS,373220,LG에너지솔루션,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,71,OK
402340.KS,402340,SK스퀘어,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,86,OK
450080.KS,450080,에코프로머티,0,,,0,FAIL
