universe,trade_year,period,cost_bps_side,portfolio_return_pct,closed_mdd_pct,accepted,opportunities,trades,wins,losses,win_rate_pct,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,payoff,pf,best_trade_pct,worst_trade_pct
KOSDAQ40_ROLLING,2022,Y2022,5.0,-0.9474616121731394,1.7259906602880015,7,12,7,2,5,28.571428571428573,-1.1940176947748644,-4.776122577009357,11.906530350678413,-6.434236912956175,1.850496105715825,0.74019844228633,20.13672017746069,-10.030842566882248
KR80_ROLLING,2022,Y2022,5.0,-3.41791896711654,5.490763550518862,18,25,18,4,14,22.22222222222222,-1.8906870391125692,-3.8453022753600963,8.495042331069797,-4.858038287736101,1.7486569326790093,0.4996162664797169,20.13672017746069,-10.030842566882248
KOSPI40_ROLLING,2023,Y2023,5.0,1.6366085676186026,3.3099622630192616,12,18,12,3,9,25.0,-0.33904513737909675,-2.747664502183805,8.258263730141202,-3.2048147598858634,2.5768302847042905,0.8589434282347636,12.358447815719199,-5.295697305011792
KOSDAQ40_ROLLING,2023,Y2023,5.0,2.8636767472100644,2.612441497876483,14,15,14,7,7,50.0,4.985052019655792,-0.7992503748125934,16.575406202619945,-6.60530216330836,2.5094092280432356,2.5094092280432356,36.36772576850697,-13.278946845795325
KR80_ROLLING,2023,Y2023,5.0,4.411794108340827,4.006634209225712,25,33,25,9,16,36.0,2.5173000237753467,-2.457142215409147,15.039175761929016,-4.526255078936092,3.3226531646254487,1.8689924051018147,36.36772576850697,-13.278946845795325
KOSPI40_ROLLING,2024,Y2024,5.0,-15.06374185045557,15.06374185045557,29,32,29,2,27,6.896551724137931,-4.33099354222405,-4.891074870727897,7.593085737190797,-5.214258674032557,1.4562157752174814,0.10786783520129492,14.338078320484016,-11.07050944887128
KOSDAQ40_ROLLING,2024,Y2024,5.0,0.6101618382867491,2.7943137514090277,12,15,12,4,8,33.333333333333336,0.099746367612352,-4.9559324283882376,17.11826899547936,-8.409514946321154,2.0355833962775653,1.0177916981387827,32.969108131936565,-18.55395570420827
KR80_ROLLING,2024,Y2024,5.0,-14.152905342815647,14.152905342815647,40,47,40,6,34,15.0,-2.982672594735278,-4.5198029341934784,13.943207909383176,-5.969592683697357,2.3357050720497803,0.41218324800878475,32.969108131936565,-18.55395570420827
KOSPI40_ROLLING,2025,Y2025,5.0,14.179954106911353,5.759570759189902,38,44,38,18,20,47.36842105263158,5.155888581512157,-0.5185788058351737,16.625795790303723,-5.1670279064002544,3.217670988327702,2.895903889494932,55.645381729025004,-13.531889517426155
KOSDAQ40_ROLLING,2025,Y2025,5.0,5.1536283245409376,3.3722599251410967,22,25,22,8,14,36.36363636363637,3.0783105785069123,-4.820029228184919,24.839045627272995,-9.356395163645136,2.6547666267652605,1.5170095010087203,40.04767569267009,-19.407133914741003
KR80_ROLLING,2025,Y2025,5.0,12.298791437338675,6.392814572511263,55,69,55,22,33,40.0,3.406178577465123,-1.8525824806894797,18.935471929745855,-6.946683657388702,2.7258290234082443,1.8172193489388297,55.645381729025004,-19.407133914741003
KOSPI40_ROLLING,2026,Y2026,5.0,0.053023367516047415,8.134103671398119,22,34,22,8,14,36.36363636363637,-2.055389564842452,-4.529912563894128,13.224448518359281,-10.786725612386302,1.2259928539550282,0.700567345117159,33.888391000030715,-20.984642553482413
KOSDAQ40_ROLLING,2026,Y2026,5.0,-1.8987726555148021,3.5568588591745276,16,18,16,5,11,31.25,-0.6076835244824266,-7.892070174322141,23.155333767199583,-11.409055020701521,2.0295575510140544,0.922526159551843,42.0007853216249,-20.946861280103747
KR80_ROLLING,2026,Y2026,5.0,2.4325701316931125,5.242899394266464,25,52,25,11,14,44.0,0.20115390462448218,-3.761975317326649,15.382275819543697,-11.726870457097759,1.3117119248327231,1.030630798082854,42.0007853216249,-20.946861280103747
KOSPI40_ROLLING,2019,Y2019,20.0,-4.071334559895179,5.355800834892921,14,17,14,4,10,28.571428571428573,-1.0274919808529492,-3.1923038892020807,5.778111271685909,-3.7497332818684925,1.540939271501112,0.6163757086004449,14.1998195390042,-5.479023737588573
KOSDAQ40_ROLLING,2019,Y2019,20.0,-2.1790234018174037,2.4572105105469033,9,9,9,3,6,33.333333333333336,-3.804602552602016,-3.993532403379363,6.596990679416689,-9.005399168611367,0.7325594963531133,0.3662797481765567,8.090504517474173,-16.636488453676655
KR80_ROLLING,2019,Y2019,20.0,-6.156609700370586,7.610488089677481,23,26,23,7,16,30.434782608695652,-2.114187421972149,-3.5327098611765195,6.1290595892848145,-5.720607989397071,1.071400033116199,0.46873751448833706,14.1998195390042,-16.636488453676655
KOSPI40_ROLLING,2020,Y2020,20.0,20.99579449816149,1.7611427382103861,21,29,21,13,8,61.904761904761905,11.118135239387565,6.676264956425948,20.628245942560493,-4.33579465326845,4.757662110914389,7.7312009302358815,52.26928342268342,-8.586988354196912
KOSDAQ40_ROLLING,2020,Y2020,20.0,6.6306694256034415,4.368013526691383,28,33,28,12,16,42.857142857142854,4.675204658054923,-1.4012914981951896,19.76787784877022,-6.6443002349815465,2.9751632451366974,2.231372433852523,66.01649537027781,-12.019290859528786
KR80_ROLLING,2020,Y2020,20.0,23.15110705843417,5.028818663519208,41,62,41,19,22,46.34146341463415,7.090779789873809,-0.13846652245247393,21.85859661214818,-5.663243829363142,3.859730795770148,3.3334038690742185,66.01649537027781,-12.019290859528786
