strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,trade_year,market,symbol,name,ticker,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2019-11-05,2019-11-06,2019-11-18,693,701,73200.0,61266.66796875,pivot,2019-10-30,16.302366162909838,0.2728226652675761,0.7097740457522922,0.7948746238630741,2.6321689998235036,61266.66796875,-16.386021968843945,-1.0,False,initial_stop,Y2019,2019,KOSDAQ,140410,메지온,140410.KQ,5.0,2.6321689998235036,0.7097740457522922,0.7948746238630741
SOR_E1_BE,2019-12-27,2019-12-30,2019-12-30,730,730,60000.0,45033.33203125,pivot,2019-12-12,24.944446614583335,0.0,0.6705884956206688,0.6815166177844353,1.792769723571917,63766.66796875,6.171555280302576,0.25167044372299174,False,end_of_data,Y2019,2019,KOSDAQ,140410,메지온,140410.KQ,5.0,1.792769723571917,0.6705884956206688,0.6815166177844353
SOR_E1_BE,2020-11-16,2020-11-17,2020-12-30,948,978,97400.0,79200.0,pivot,2020-11-02,18.68583162217659,0.0,0.7177242888402626,0.8829683153467702,2.5106716317964666,118500.0,21.541641910051148,1.1593406593406594,False,end_of_data,Y2020,2020,KOSPI,000660,SK하이닉스,000660.KS,5.0,2.5106716317964666,0.7177242888402626,0.8829683153467702
SOR_E1_BE,2020-08-03,2020-08-04,2020-09-08,878,902,317500.0,260500.0,pivot,2020-07-20,17.95275590551181,0.24193548387096775,0.7175257731958763,0.8420464102083413,1.049741374272441,316000.0,-0.5719187650269353,-0.02631578947368421,False,trend_off_next_open,Y2020,2020,KOSPI,035420,NAVER,035420.KS,5.0,1.049741374272441,0.7175257731958763,0.8420464102083413
SOR_E1_BE,2020-01-23,2020-01-28,2020-02-21,747,765,725701.3125,654196.1875,pivot,2020-01-15,9.853244546805199,0.0,0.7009516071026705,0.9463848758992468,4.278731582452157,750043.5,3.250995751000918,0.3404257736770616,False,trend_off_next_open,Y2020,2020,KOSPI,207940,삼성바이오로직스,207940.KS,5.0,4.278731582452157,0.7009516071026705,0.9463848758992468
SOR_E1_BE,2020-04-10,2020-04-13,2020-07-02,801,855,867190.25,659521.0,pivot,2020-03-30,23.94736910383852,0.2966958508520626,0.3852941078743418,0.7154980096998709,10.114597111692797,1222434.0,40.8240206703828,1.7106227811772807,True,trend_off_next_open,Y2020,2020,KOSPI,207940,삼성바이오로직스,207940.KS,5.0,10.114597111692797,0.3852941078743418,0.7154980096998709
SOR_E1_BE,2020-05-13,2020-05-14,2020-07-02,820,855,932609.875,844369.4375,pivot,2020-05-04,9.46166664812551,0.0,0.6746986337137783,0.5609371439401288,1.2405854631046285,1135715.0,21.65642708573221,2.3017239120102957,True,trend_off_next_open,Y2020,2020,KOSPI,207940,삼성바이오로직스,207940.KS,5.0,1.2405854631046285,0.6746986337137783,0.5609371439401288
SOR_E1_BE,2020-06-04,2020-06-05,2020-07-02,836,855,981294.25,917396.0,pivot,2020-05-28,6.51162992140227,0.0,0.8795815076774602,0.3847435236948585,1.4652400773966145,1135715.0,15.62075825612077,2.416666340627482,True,trend_off_next_open,Y2020,2020,KOSPI,207940,삼성바이오로직스,207940.KS,5.0,1.4652400773966145,0.8795815076774602,0.3847435236948585
SOR_E1_BE,2020-11-18,2020-11-19,2020-12-16,950,969,1241451.375,1127347.375,pivot,2020-11-13,9.19117754410639,0.1379328125402841,0.6569340811264694,0.8754775965137785,3.080964506115538,1218630.5,-1.9363542522360389,-0.20000065729509922,False,trend_off_next_open,Y2020,2020,KOSPI,207940,삼성바이오로직스,207940.KS,5.0,3.080964506115538,0.6569340811264694,0.8754775965137785
SOR_E1_BE,2020-12-14,2020-12-15,2020-12-23,968,974,260000.0,239000.0,pivot,2020-12-10,8.076923076923077,0.30303030303030304,0.8607594936708861,0.8193581051328307,2.563307320940678,245000.0,-5.863414446622839,-0.7142857142857143,False,trend_off_next_open,Y2020,2020,KOSPI,012330,현대모비스,012330.KS,5.0,2.563307320940678,0.8607594936708861,0.8193581051328307
