strategy,exit_spec,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,initial_stop,active_stop,first_entry,R,target1,target2,level,shares,cash_out,cash_in,commissions,taxes,partial_taken,added20,added60,bars_held,last_mark,mfe_R,mae_R,entry_i,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,MO,MO,US,MO,NLEVEL_RR|MO|2T|4193|4196|4197,2026-02-05 19:30:00+00:00,5000.0,1,1020.0464560000006,25.330473580407343,63.6686751962748,63.6686751962748,63.6686751962748,65.29,1.6213248037252086,66.91132480372522,68.53264960745042,65.25500106811523,0,390.04492500000003,386.74652999999995,0.388395,0.0,False,True,False,11,64.66000000000001,0.3885699938086446,-0.49033805662589225,4198,2026-02-09 15:30:00+00:00,64.5,ma32_exit,MA_EXIT,-3.2983950000000846,2,"[{""time"": ""2026-02-05 19:30:00+00:00"", ""price"": 65.29, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-02-09 15:30:00+00:00"", ""price"": 64.66000000000001, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2026-02-09 15:30:00+00:00"", ""price"": 64.49, ""shares"": 6, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,TGT,TGT,US,TGT,NLEVEL_RR|TGT|2T|4202|4204|4206,2026-02-09 14:30:00+00:00,5000.0,1,1019.960871014161,46.13325661617067,110.06583740430733,110.06583740430733,110.06583740430733,115.28,5.21416259569267,120.49416259569267,125.70832519138534,114.82499694824219,0,115.33764000000001,113.68312999999999,0.11450999999999999,0.0,False,False,False,10,114.54000091552734,0.3624739609207059,-0.3126098283677629,4207,2026-02-10 16:30:00+00:00,113.75499725341797,ma32_exit,MA_EXIT,-1.6545100000000161,1,"[{""time"": ""2026-02-09 14:30:00+00:00"", ""price"": 115.28, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-02-10 16:30:00+00:00"", ""price"": 113.74, ""shares"": 1, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,KO,KO,US,KO,NLEVEL_RR|KO|3T|4242|4245|4246,2026-02-17 19:30:00+00:00,5000.0,1,1018.4741170000007,16.506807815506694,78.00491600047062,78.00491600047062,78.00491600047062,79.29,1.285083999529391,80.5750839995294,81.86016799905879,79.05500030517578,0,158.65929,158.06092999999998,0.15836,0.0,False,False,False,7,79.16000366210938,0.427984737256111,-0.28542685574319904,4247,2026-02-18 18:30:00+00:00,79.08499908447266,ma32_exit,MA_EXIT,-0.5983600000000138,1,"[{""time"": ""2026-02-17 19:30:00+00:00"", ""price"": 79.29, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-02-18 18:30:00+00:00"", ""price"": 79.07, ""shares"": 2, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,USB,USB,US,USB,NLEVEL_RR|USB|2T|4243|4247|4248,2026-02-18 14:30:00+00:00,5000.0,1,1018.5422590000007,14.911403376691734,57.34795515958709,57.34795515958709,57.34795515958709,58.199999999999996,0.8520448404129084,59.052044840412904,59.90408968082581,58.20249938964844,0,923.9717549999999,921.61896,0.922795,0.0,False,True,True,8,57.53,0.9858646818637811,-0.868499966702138,4249,2026-02-19 14:30:00+00:00,57.64500045776367,ma32_exit,MA_EXIT,-2.352794999999901,3,"[{""time"": ""2026-02-18 14:30:00+00:00"", ""price"": 58.199999999999996, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-02-19 14:30:00+00:00"", ""price"": 57.87, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""adverse20""}, {""time"": ""2026-02-19 14:30:00+00:00"", ""price"": 57.53, ""shares"": 10, ""fraction"": 0.6, ""reason"": ""support60""}]","[{""time"": ""2026-02-19 14:30:00+00:00"", ""price"": 57.63, ""shares"": 16, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,PEP,PEP,US,PEP,NLEVEL_RR|PEP|2T|4261|4266|4267,2026-02-20 19:30:00+00:00,5000.0,1,1018.3143713896493,10.808307974423636,162.87273637617278,162.87273637617278,162.87273637617278,164.62,1.747263623827223,166.36726362382723,168.11452724765445,164.43499755859375,0,164.70231,166.266825,0.16548500000000002,0.0,False,False,False,3,164.5,1.573886779124881,-0.2174797790407829,4268,2026-02-23 14:30:00+00:00,166.36726362382723,target1_full,WIN,1.564515,1,"[{""time"": ""2026-02-20 19:30:00+00:00"", ""price"": 164.62, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-02-23 14:30:00+00:00"", ""price"": 166.35000000000002, ""shares"": 1, ""reason"": ""target1_full""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,CSCO,CSCO,US,CSCO,NLEVEL_RR|CSCO|3T|4250|4254|4255,2026-02-19 14:30:00+00:00,5000.0,1,1018.3429844506844,20.939735285739946,76.39612058292055,76.39612058292055,76.39612058292055,78.0,1.6038794170794546,79.60387941707945,81.20775883415891,77.81500244140625,0,156.078,154.98247,0.15553,0.0,False,False,False,16,78.44000244140625,0.9227647298003051,-0.3647400660193621,4256,2026-02-23 15:30:00+00:00,77.54499816894531,ma32_exit,MA_EXIT,-1.0955299999999966,1,"[{""time"": ""2026-02-19 14:30:00+00:00"", ""price"": 78.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-02-23 15:30:00+00:00"", ""price"": 77.53, ""shares"": 2, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,KO,KO,US,KO,NLEVEL_RR|KO|2T|4263|4265|4266,2026-02-20 18:30:00+00:00,5000.0,1,1018.0682860000009,13.789603458254025,78.49223462584781,78.49223462584781,79.57000000000001,79.57000000000001,1.077765374152193,80.6477653741522,81.7255307483044,79.47000122070312,0,159.21957,160.10990499999997,0.159665,0.0,True,False,False,18,80.4000015258789,1.4103221112352942,-0.153095678020764,4267,2026-02-25 14:30:00+00:00,79.57000000000001,stop,BE_STOP,0.8903349999999648,1,"[{""time"": ""2026-02-20 18:30:00+00:00"", ""price"": 79.57000000000001, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-02-23 16:30:00+00:00"", ""price"": 80.63, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2026-02-25 14:30:00+00:00"", ""price"": 79.55999999999999, ""shares"": 1, ""reason"": ""stop""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,MRK,MRK,US,MRK,NLEVEL_RR|MRK|2T|4271|4275|4276,2026-02-24 14:30:00+00:00,5000.0,1,1018.3597061831063,24.999633716701172,120.3999264700703,120.3999264700703,120.3999264700703,123.43,3.030073529929709,126.46007352992972,129.49014705985942,123.20500183105469,0,123.49171500000001,122.61865999999999,0.123055,0.0,False,False,False,10,123.18000030517578,0.5643425391357083,-0.3828301014729864,4277,2026-02-25 16:30:00+00:00,122.69999694824219,ma32_exit,MA_EXIT,-0.8730550000000221,1,"[{""time"": ""2026-02-24 14:30:00+00:00"", ""price"": 123.43, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-02-25 16:30:00+00:00"", ""price"": 122.67999999999999, ""shares"": 1, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,MRK,MRK,US,MRK,NLEVEL_RR|MRK|3T|4301|4303|4304,2026-03-02 14:30:00+00:00,5000.0,1,1017.9811390000009,37.8529119892192,118.93662391582066,118.93662391582066,118.93662391582066,123.53,4.59337608417934,128.12337608417934,132.71675216835868,123.30000305175781,0,245.36262,242.81853,0.24409000000000003,0.0,False,True,False,1,121.71000000000001,0.03700915081342796,-0.4452061734487394,4305,2026-03-02 14:30:00+00:00,121.48500061035156,ma32_exit,MA_EXIT,-2.544089999999983,2,"[{""time"": ""2026-03-02 14:30:00+00:00"", ""price"": 123.53, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-03-02 14:30:00+00:00"", ""price"": 121.71000000000001, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2026-03-02 14:30:00+00:00"", ""price"": 121.47, ""shares"": 2, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,PFE,PFE,US,PFE,NLEVEL_RR|PFE|5T|4350|4353|4355,2026-03-11 15:30:00+00:00,5000.0,1,1017.4723210000008,29.052962345100056,26.46218749547633,26.46218749547633,26.46218749547633,27.240000000000002,0.7778125045236735,28.017812504523675,28.79562500904735,27.170000076293945,0,379.44963,375.01239999999996,0.37722999999999995,0.0,False,True,False,6,26.94,0.14142274755159404,-0.6428287356835878,4356,2026-03-12 13:30:00+00:00,26.815000534057617,ma32_exit,MA_EXIT,-4.437230000000056,2,"[{""time"": ""2026-03-11 15:30:00+00:00"", ""price"": 27.240000000000002, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-03-12 13:30:00+00:00"", ""price"": 26.94, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2026-03-12 13:30:00+00:00"", ""price"": 26.799999999999997, ""shares"": 14, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,PLTR,PLTR,US,PLTR,NLEVEL_RR|PLTR|2T|4375|4376|4378,2026-03-16 17:30:00+00:00,5000.0,1,1016.5848750000007,29.37719300930768,148.11248854870124,148.11248854870124,148.11248854870124,152.51999999999998,4.407511451298745,156.92751145129873,161.33502290259747,152.18999481201172,0,152.59625999999997,153.15338500000001,0.15287499999999998,0.0,False,False,False,16,154.0800018310547,0.9597252433124319,-0.10209676838131279,4379,2026-03-18 18:30:00+00:00,153.2489013671875,ma32_exit,MA_EXIT,0.5571250000000418,1,"[{""time"": ""2026-03-16 17:30:00+00:00"", ""price"": 152.51999999999998, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-03-18 18:30:00+00:00"", ""price"": 153.23000000000002, ""shares"": 1, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,CSCO,CSCO,US,CSCO,NLEVEL_RR|CSCO|2T|4493|4498|4499,2026-04-09 19:30:00+00:00,5000.0,1,1016.6963000000005,41.00090434132508,79.99829268790212,79.99829268790212,79.99829268790212,83.36,3.3617073120978773,86.72170731209788,90.08341462419575,83.01499938964844,0,330.94539,326.8365,0.32889,0.0,False,True,False,9,82.0250015258789,0.35696074856822996,-0.6276572598711014,4500,2026-04-13 13:30:00+00:00,81.76499938964844,ma32_exit,MA_EXIT,-4.108889999999974,2,"[{""time"": ""2026-04-09 19:30:00+00:00"", ""price"": 83.36, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-04-10 13:30:00+00:00"", ""price"": 82.03, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2026-04-13 13:30:00+00:00"", ""price"": 81.75, ""shares"": 4, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,WFC,WFC,US,WFC,NLEVEL_RR|WFC|4T|4544|4546|4548,2026-04-20 19:30:00+00:00,5000.0,1,1015.8745220000006,14.590269959065475,80.88143165626029,80.88143165626029,80.88143165626029,82.06,1.1785683437397125,83.23856834373971,84.41713668747943,81.84000015258789,0,327.48366000000004,325.51716,0.3265,0.0,False,True,False,6,81.60000000000001,0.8824252574280713,-0.5854537474072503,4549,2026-04-21 17:30:00+00:00,81.43840026855469,ma32_exit,MA_EXIT,-1.9665000000000532,2,"[{""time"": ""2026-04-20 19:30:00+00:00"", ""price"": 82.06, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-04-21 17:30:00+00:00"", ""price"": 81.60000000000001, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2026-04-21 17:30:00+00:00"", ""price"": 81.42, ""shares"": 4, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,KO,KO,US,KO,NLEVEL_RR|KO|2T|4585|4591|4593,2026-04-29 15:30:00+00:00,5000.0,1,1015.4812220000008,39.5757810642495,75.6809203446702,75.6809203446702,75.6809203446702,78.75,3.0690796553298014,81.8190796553298,84.8881593106596,78.41749954223633,0,157.57875,156.14189,0.15686,0.0,False,False,False,17,78.3550033569336,0.2899890161217724,-0.20853137146082432,4594,2026-05-01 17:30:00+00:00,78.125,ma32_exit,MA_EXIT,-1.4368600000000242,1,"[{""time"": ""2026-04-29 15:30:00+00:00"", ""price"": 78.75, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-05-01 17:30:00+00:00"", ""price"": 78.11, ""shares"": 2, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,PEP,PEP,US,PEP,NLEVEL_RR|PEP|3T|4599|4603|4604,2026-04-30 19:30:00+00:00,5000.0,1,1015.3834712675789,33.001576210694225,153.23239834195374,153.23239834195374,153.23239834195374,158.38,5.147601658046256,163.52760165804625,168.6752033160925,158.11000061035156,0,314.87736,312.86349,0.31387,0.0,False,True,False,9,156.34,0.3147096662904695,-0.575392992243033,4605,2026-05-04 13:30:00+00:00,156.52000427246094,ma32_exit,MA_EXIT,-2.013869999999997,2,"[{""time"": ""2026-04-30 19:30:00+00:00"", ""price"": 158.38, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-05-04 13:30:00+00:00"", ""price"": 156.34, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2026-05-04 13:30:00+00:00"", ""price"": 156.51000000000002, ""shares"": 2, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,KO,KO,US,KO,NLEVEL_RR|KO|3T|4616|4620|4621,2026-05-05 15:30:00+00:00,5000.0,1,1014.7910760000009,10.086765034066715,77.61082335002669,77.61082335002669,77.61082335002669,78.39,0.7791766499733086,79.16917664997331,79.94835329994662,78.29000091552734,0,156.85839,156.9215,0.15689,0.0,False,False,False,1,78.39,0.365901922107759,-0.05775170405634851,4622,2026-05-05 15:30:00+00:00,78.51000213623047,ma32_exit,MA_EXIT,0.06310999999999467,1,"[{""time"": ""2026-05-05 15:30:00+00:00"", ""price"": 78.39, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2026-05-05 15:30:00+00:00"", ""price"": 78.5, ""shares"": 2, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,MS,MS,US,MS,NLEVEL_RR|MS|5T|4641|4645|4647,2026-05-11 13:30:00+00:00,5000.0,1,1014.8036980000008,13.427359160696492,189.834527057375,189.834527057375,189.834527057375,192.38,2.545472942624997,194.925472942625,197.47094588525,192.22999572753906,0,955.3174199999999,956.0717249999999,0.955695,0.0,False,True,True,6,191.72000122070312,0.506781332201087,-0.9192817078047867,4648,2026-05-11 18:30:00+00:00,191.32000732421875,ma32_exit,MA_EXIT,0.7543050000000449,3,"[{""time"": ""2026-05-11 13:30:00+00:00"", ""price"": 192.38, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2026-05-11 13:30:00+00:00"", ""price"": 191.38, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}, {""time"": ""2026-05-11 13:30:00+00:00"", ""price"": 190.35999999999999, ""shares"": 3, ""fraction"": 0.6, ""reason"": ""support60""}]","[{""time"": ""2026-05-11 18:30:00+00:00"", ""price"": 191.31, ""shares"": 5, ""reason"": ""ma32_exit""}]"
