lever,start,end,cagr,max_dd,calmar
TECL,2016-10-17,2019-10-17,0.4519487231163031,0.5348830804211264,0.8449486245862795
TECL,2017-01-18,2020-01-17,0.6419942539908354,0.5348830804211264,1.2002515642958416
TECL,2017-04-19,2020-04-17,0.3003350960495572,0.6286219171448688,0.4777674590374545
TECL,2017-07-19,2020-07-17,0.37268730417274853,0.6286219171448688,0.5928639998195625
TECL,2017-10-17,2020-10-16,0.445959475473942,0.6286219171448688,0.7094240008357338
TECL,2018-01-18,2021-01-15,0.354710882963462,0.6286219171448688,0.5642674448490749
TECL,2018-04-19,2021-04-19,0.527793840527881,0.6286219171448688,0.8396045796892705
TECL,2018-07-19,2021-07-19,0.4748214699190012,0.6286219171448688,0.7553371223128645
TECL,2018-10-17,2021-10-15,0.6149572363789333,0.6286219171448688,0.9782624811619693
TECL,2019-01-18,2022-01-18,0.8765129135933949,0.6286219171448688,1.3943403653095958
TECL,2019-04-22,2022-04-22,0.41621298636261916,0.6286219171448688,0.6621038417702846
TECL,2019-07-22,2022-07-22,0.34873706034316676,0.6286219171448688,0.5547643994455235
TECL,2019-10-18,2022-10-18,0.2978918546449223,0.6286219171448688,0.47388079626290175
TECL,2020-01-21,2023-01-20,0.11633054909120522,0.6286219171448688,0.1850564638591758
TECL,2020-04-21,2023-04-21,0.5346261218020996,0.6284728839888455,0.8506749223751529
TECL,2020-07-21,2023-07-21,0.4563030869694946,0.6284728839888455,0.7260505561885043
TECL,2020-10-19,2023-10-19,0.2623619087090101,0.6284728839888455,0.41745939306693564
TECL,2021-01-20,2024-01-19,0.3631589096308152,0.6284728839888455,0.5778434024486262
TECL,2021-04-21,2024-04-19,0.20911761489778602,0.6284728839888455,0.33273927996788094
TECL,2021-07-21,2024-07-19,0.2846941529339686,0.6284728839888455,0.4529935343065995
TECL,2021-10-19,2024-10-18,0.21485880862163742,0.6284728839888455,0.3418744294231967
TECL,2022-01-19,2025-01-17,0.21911549633360616,0.4900940744698302,0.44708864633925444
TECL,2022-04-20,2025-04-17,0.2328981835290871,0.5006016804123988,0.46523651965615476
TECL,2022-07-21,2025-07-21,0.5155640310396623,0.5006016804123988,1.0298887343225405
TECL,2022-10-19,2025-10-17,0.7431600440401454,0.5006016804123988,1.4845336584326394
TECL,2023-01-20,2026-01-20,0.6548825308814303,0.5006016804123988,1.3081908361592673
TECL,2023-04-21,2026-04-21,0.5614576922073966,0.5006016804123988,1.1215657361454805
TECL,2023-07-24,2026-07-24,0.457382069138883,0.5006016804123988,0.9136646700068781
SOXL,2010-12-22,2013-12-20,0.14011782351645508,0.5784015316300233,0.2422500907312292
SOXL,2011-03-24,2014-03-24,0.21014406143208864,0.4911505463395809,0.4278607913566186
SOXL,2011-06-23,2014-06-23,0.44136564818620916,0.4002019615518503,1.102857283544388
