date,equity,held_asset,desired_asset
2011-10-17,7988.5994196941065,base,base
2011-10-18,8149.421281107217,base,base
2011-10-19,7985.416252524852,base,base
2011-10-20,7846.884047327161,base,base
2011-10-21,8014.075451377624,base,base
2011-10-24,8281.585013100503,base,base
2011-10-25,8144.645728278624,base,base
2011-10-26,8171.715749770901,base,base
2011-10-27,8517.243118621298,base,base
2011-10-28,8550.682682750929,base,base
2011-10-31,8343.686449665274,base,base
2011-11-01,8077.768204168787,base,base
2011-11-02,8108.025135845635,base,base
2011-11-03,8350.05385343673,base,base
2011-11-04,8445.591111115813,base,base
2011-11-07,8440.812349988377,base,base
2011-11-08,8479.030675245443,base,base
2011-11-09,8104.839829810483,base,base
2011-11-10,8158.975595063245,base,base
2011-11-11,8445.591111115813,base,base
2011-11-14,8353.237555322457,base,base
2011-11-15,8458.33019639052,base,base
2011-11-16,8429.673671120117,base,base
2011-11-17,8103.247444151145,base,base
2011-11-18,8026.8145366523295,base,base
2011-11-21,7877.142048436957,base,base
2011-11-22,7776.822821331593,base,base
2011-11-23,7531.608797705347,base,base
2011-11-25,7439.253103046097,base,base
2011-11-28,7665.361707059127,base,base
2011-11-29,7617.592276144875,base,base
2011-11-30,8045.925303430283,base,base
2011-12-01,8100.064276981889,base,base
2011-12-02,8101.653989058857,base,base
2011-12-05,8168.532047885169,base,base
2011-12-06,8147.830499597298,base,base
2011-12-07,8256.108446700508,base,base
2011-12-08,8012.481996285334,base,base
2011-12-09,8119.171300744524,base,base
2011-12-12,7902.612732955732,base,base
2011-12-13,7714.723523632716,base,base
2011-12-14,7593.710768986591,base,base
2011-12-15,7574.600536925109,base,base
2011-12-16,7647.849207821721,base,base
2011-12-19,7426.515087204336,base,base
2011-12-20,7756.122877193141,base,base
2011-12-21,7678.100257617357,base,base
2011-12-22,7934.0075412890865,base,base
2011-12-23,7969.105261204347,base,base
2011-12-27,7959.532766888205,base,base
2011-12-28,7841.471647178125,base,base
2011-12-29,7910.07363191636,base,base
2011-12-30,7881.3561489679305,base,base
2012-01-03,7980.2712106127765,base,base
2012-01-04,7980.2712106127765,base,base
2012-01-05,8088.760905439662,base,base
2012-01-06,8109.499349164234,base,base
2012-01-09,8273.830020079216,base,base
2012-01-10,8356.786468559874,base,base
2012-01-11,8385.510902822465,base,base
2012-01-12,8474.850796568797,base,base
2012-01-13,8302.546968311171,base,base
2012-01-17,8326.478738818003,base,base
2012-01-18,8749.260874387632,base,base
2012-01-19,8923.16297018581,base,base
2012-01-20,8966.244007056717,base,base
2012-01-23,8937.520642227075,base,base
2012-01-24,8969.430382524815,base,base
2012-01-25,9007.720359789388,base,base
2012-01-26,8913.588871720243,base,base
2012-01-27,8942.308493534569,base,base
2012-01-30,8849.770995274186,base,base
2012-01-31,8856.159252988125,base,base
2012-02-01,9053.985098546025,base,base
2012-02-02,9103.447441816714,base,lever
2012-02-03,9469.735139565359,lever,lever
2012-02-06,9168.12494236311,lever,lever
2012-02-07,9177.327382362711,lever,lever
2012-02-08,9524.989593462666,lever,lever
2012-02-09,9607.880322922194,lever,lever
2012-02-10,9013.862368517299,lever,lever
2012-02-13,9108.254790684294,lever,lever
2012-02-14,9239.488642997181,lever,lever
2012-02-15,9363.819308018334,lever,lever
2012-02-16,10056.845382371734,lever,lever
2012-02-17,9822.002190110541,lever,lever
2012-02-21,9428.291584558308,lever,lever
2012-02-22,9285.547895785743,lever,lever
2012-02-23,9340.80506426712,lever,lever
2012-02-24,9271.73609203413,lever,lever
2012-02-27,9280.931293142876,lever,lever
2012-02-28,9750.62129711069,lever,lever
2012-02-29,9299.361509260072,lever,lever
2012-03-01,9308.560329814245,lever,lever
2012-03-02,9023.078381437257,lever,lever
2012-03-05,8348.46533083527,lever,lever
2012-03-06,8095.20730509995,lever,lever
2012-03-07,8484.315785791025,lever,lever
2012-03-08,8845.782561751736,lever,lever
2012-03-09,9131.28351221722,lever,lever
2012-03-12,8882.627611343058,lever,lever
2012-03-13,9458.225303105684,lever,lever
2012-03-14,9373.034416076933,lever,lever
2012-03-15,9902.577379357783,lever,lever
2012-03-16,9923.299609291986,lever,lever
2012-03-19,10162.758499334688,lever,lever
2012-03-20,9964.744069160392,lever,lever
2012-03-21,10061.446602371534,lever,lever
2012-03-22,9888.766480467526,lever,lever
2012-03-23,9964.744069160393,lever,lever
2012-03-26,10386.081901661279,lever,lever
2012-03-27,10360.761166311346,lever,lever
2012-03-28,9987.772790693318,lever,lever
2012-03-29,10020.003047364486,lever,lever
2012-03-30,10135.13036752468,lever,lever
2012-04-02,10125.914354604725,lever,lever
2012-04-03,9658.536271403773,lever,lever
2012-04-04,9000.04694532026,lever,lever
2012-04-05,9085.240546933082,lever,lever
2012-04-09,8707.64009297897,lever,lever
2012-04-10,8251.766417069555,lever,lever
2012-04-11,8636.275487483543,lever,lever
2012-04-12,9110.560377421658,lever,lever
2012-04-13,8622.459159425145,lever,lever
2012-04-16,8636.275487483543,lever,lever
2012-04-17,9036.88928032751,lever,lever
2012-04-18,8811.250337788631,lever,lever
2012-04-19,8523.452849199353,lever,lever
2012-04-20,7931.740481531821,lever,lever
2012-04-23,7641.640120789251,lever,lever
2012-04-24,7457.439304089282,lever,lever
2012-04-25,7954.755630144392,lever,lever
2012-04-26,8491.22078280547,lever,lever
2012-04-27,8498.130304126706,lever,lever
2012-04-30,8359.98783535394,lever,lever
2012-05-01,8458.980572659377,lever,lever
2012-05-02,8576.405335804722,lever,lever
2012-05-03,7961.664246604268,lever,lever
2012-05-04,7448.238673812394,lever,lever
2012-05-07,7402.183040469261,lever,lever
2012-05-08,7273.254322463058,lever,lever
2012-05-09,7211.089894813839,lever,lever
2012-05-10,7118.988129171819,lever,lever
2012-05-11,7270.94466384959,lever,lever
2012-05-14,7056.824606383958,lever,lever
2012-05-15,6833.502561349404,lever,base
2012-05-16,6714.532688377276,base,base
2012-05-17,6566.33092346949,base,base
2012-05-18,6440.229921542889,base,base
2012-05-21,6601.434923960977,base,base
2012-05-22,6553.3316003699165,base,base
2012-05-23,6579.332421241689,base,base
2012-05-24,6485.730596933072,base,base
2012-05-25,6550.732431645242,base,base
2012-05-29,6691.133645837329,base,base
2012-05-30,6597.5339962013395,base,base
2012-05-31,6528.630798795006,base,base
2012-06-01,6249.130129445798,base,base
2012-06-04,6238.7295401363735,base,base
2012-06-05,6358.3308805131865,base,base
2012-06-06,6558.53124262284,base,base
2012-06-07,6500.032114002135,base,base
2012-06-08,6567.631812635402,base,base
2012-06-11,6475.330442558173,base,base
2012-06-12,6591.031290109873,base,base
2012-06-13,6539.030083300852,base,base
2012-06-14,6524.731610773469,base,base
2012-06-15,6627.432700291071,base,base
2012-06-18,6719.731895695673,base,base
2012-06-19,6808.077536263045,base,base
2012-06-20,6868.009339210904,base,base
2012-06-21,6587.869751043666,base,base
2012-06-22,6682.988626977393,base,base
2012-06-25,6466.693077815318,base,base
2012-06-26,6491.4508558130765,base,base
2012-06-27,6574.838677723729,base,base
2012-06-28,6533.145419170191,base,base
2012-06-29,6817.195068722104,base,base
2012-07-02,6806.770123079249,base,base
2012-07-03,6890.159249793479,base,base
2012-07-05,6838.042350400662,base,base
2012-07-06,6666.049666945411,base,base
2012-07-09,6577.448284877018,base,base
2012-07-10,6441.935734752089,base,base
2012-07-11,6370.272007912103,base,base
2012-07-12,6269.943486231363,base,base
2012-07-13,6314.245047134611,base,base
2012-07-16,6255.608479203833,base,base
2012-07-17,6229.551551778263,base,base
2012-07-18,6441.935734752087,base,base
2012-07-19,6570.930356077157,base,base
2012-07-20,6461.480822461154,base,base
2012-07-23,6408.060424295271,base,base
2012-07-24,6378.089956008823,base,base
