date,equity,held_asset,desired_asset
2014-06-12,28948.743789884666,lever,lever
2014-06-13,29147.243959152594,lever,lever
2014-06-16,29254.77899115442,lever,lever
2014-06-17,29296.12655450562,lever,lever
2014-06-18,29829.609451483648,lever,lever
2014-06-19,29713.826814124335,lever,lever
2014-06-20,29821.35437772408,lever,lever
2014-06-23,29854.42446210949,lever,lever
2014-06-24,29771.724356472383,lever,lever
2014-06-25,30318.518435414335,lever,lever
2014-06-26,30401.253393594456,lever,lever
2014-06-27,30703.19591052744,lever,lever
2014-06-30,30930.698374517593,lever,lever
2014-07-01,31968.87845741158,lever,lever
2014-07-02,32092.963468410264,lever,lever
2014-07-03,32709.26845492595,lever,lever
2014-07-07,32394.92839054947,lever,lever
2014-07-08,31265.730891574858,lever,lever
2014-07-09,31973.028399497587,lever,lever
2014-07-10,31671.07343522781,lever,lever
2014-07-11,32221.20340042966,lever,lever
2014-07-14,32837.48598173912,lever,lever
2014-07-15,32494.19092252022,lever,lever
2014-07-16,32862.30348183233,lever,lever
2014-07-17,31551.130897913063,lever,lever
2014-07-18,33044.300971983204,lever,lever
2014-07-21,32924.34100839695,lever,lever
2014-07-22,33577.86851085141,lever,lever
2014-07-23,34206.585981614735,lever,lever
2014-07-24,34086.6309969632,lever,lever
2014-07-25,33668.866011193175,lever,lever
2014-07-28,33710.238469217955,lever,lever
2014-07-29,33540.64848438,lever,lever
2014-07-30,33941.85353328374,lever,lever
2014-07-31,31873.755909657404,lever,lever
2014-08-01,31505.623434606434,lever,lever
2014-08-04,32150.880926497182,lever,lever
2014-08-05,31398.07595526782,lever,lever
2014-08-06,31344.310928734267,lever,lever
2014-08-07,31042.37090126864,lever,lever
2014-08-08,31704.163435352093,lever,lever
2014-08-11,32279.09347437564,lever,lever
2014-08-12,32204.6359951613,lever,lever
2014-08-13,33251.11845169465,lever,lever
2014-08-14,33764.00100628415,lever,lever
2014-08-15,34223.12102380744,lever,lever
2014-08-18,35050.37849531643,lever,lever
2014-08-19,35654.25108184561,lever,lever
2014-08-20,35654.25108184561,lever,lever
2014-08-21,35856.94351414463,lever,lever
2014-08-22,35997.56854627073,lever,lever
2014-08-25,36398.77608464183,lever,lever
2014-08-26,36522.85611670579,lever,lever
2014-08-27,36527.00854825916,lever,lever
2014-08-28,36378.11101610199,lever,lever
2014-08-29,36804.133565098935,lever,lever
2014-09-02,37110.218555715845,lever,lever
2014-09-03,36473.22111651937,lever,lever
2014-09-04,36357.42354235591,lever,lever
2014-09-05,36919.941097131814,lever,lever
2014-09-08,37106.07359256455,lever,lever
2014-09-09,36204.38353651481,lever,lever
2014-09-10,37044.02361866314,lever,lever
2014-09-11,37015.07360275543,lever,lever
2014-09-12,36431.87106370081,lever,lever
2014-09-15,35335.778501654626,lever,lever
2014-09-16,36291.248521042064,lever,lever
2014-09-17,36469.09357963958,lever,lever
2014-09-18,37254.971124721706,lever,lever
2014-09-19,37172.26106121516,lever,lever
2014-09-22,36163.0060995553,lever,lever
2014-09-23,35848.66603517882,lever,lever
2014-09-24,37010.94357640828,lever,lever
2014-09-25,34661.566014921445,lever,lever
2014-09-26,35770.07355068263,lever,lever
2014-09-29,35650.12105549845,lever,lever
2014-09-30,35782.48852439763,lever,lever
2014-10-01,34070.093465303114,lever,lever
2014-10-02,34053.53103896947,lever,lever
2014-10-03,35079.328511224114,lever,lever
2014-10-06,34839.426010323106,lever,lever
2014-10-07,33366.925983727524,lever,lever
2014-10-08,35294.401064695114,lever,lever
2014-10-09,33536.52094750019,lever,lever
2014-10-10,31025.818432804397,lever,lever
2014-10-13,29574.003390487527,lever,lever
2014-10-14,29627.790822227307,lever,lever
2014-10-15,28994.9458145842,lever,lever
2014-10-16,28544.080870820464,lever,lever
2014-10-17,29660.865885547435,lever,lever
2014-10-20,30938.960916679218,lever,lever
2014-10-21,33358.64850476174,lever,lever
2014-10-22,32841.63343435775,lever,lever
2014-10-23,34343.08596632839,lever,lever
2014-10-24,35133.083579888225,lever,lever
2014-10-27,35265.45353825476,lever,lever
2014-10-28,36841.35857050503,lever,lever
2014-10-29,36398.776084641795,lever,lever
2014-10-30,36626.2810380993,lever,lever
2014-10-31,38135.98615436215,lever,lever
2014-11-03,38528.936129506335,lever,lever
2014-11-04,38119.44862270209,lever,lever
2014-11-05,38115.31859635495,lever,lever
2014-11-06,38442.07861338114,lever,lever
2014-11-07,38346.94112882281,lever,lever
2014-11-10,38739.88114609755,lever,lever
2014-11-11,39108.013621148515,lever,lever
2014-11-12,39323.093643021595,lever,lever
2014-11-13,39827.716144916805,lever,lever
2014-11-14,40195.821235826836,lever,lever
2014-11-17,39819.44115541838,lever,lever
2014-11-18,40712.85871143705,lever,lever
2014-11-19,40195.82123582684,lever,lever
2014-11-20,40729.39624309712,lever,lever
2014-11-21,41023.07870733583,lever,lever
2014-11-24,41949.591242413495,lever,lever
2014-11-25,42086.093716594536,lever,lever
2014-11-26,42946.418783021574,lever,lever
2014-11-28,43587.54624856518,lever,lever
2014-12-01,41978.54872672328,lever,lever
2014-12-02,42429.386286346074,lever,lever
2014-12-03,42814.053803589755,lever,lever
2014-12-04,42685.83627677658,lever,lever
2014-12-05,42714.773845347496,lever,lever
2014-12-08,41792.42121022527,lever,lever
2014-12-09,42197.766243345584,lever,lever
2014-12-10,40154.47118300831,lever,lever
2014-12-11,40783.19114323899,lever,lever
2014-12-12,39434.77114870737,lever,lever
2014-12-15,38251.8086231992,lever,lever
2014-12-16,36353.28604760667,lever,lever
2014-12-17,38305.581118134825,lever,lever
2014-12-18,41114.07122874288,lever,lever
2014-12-19,41573.196225200896,lever,lever
2014-12-22,41956.69120331889,lever,lever
2014-12-23,41555.404001992334,lever,lever
2014-12-24,41642.271475986956,lever,lever
2014-12-26,42486.21086826277,lever,lever
2014-12-29,42494.49083669591,lever,lever
2014-12-30,41617.451486426384,lever,lever
2014-12-31,40314.33232941067,lever,lever
2015-01-02,39983.37755988602,lever,lever
2015-01-05,38183.818780181275,lever,lever
2015-01-06,36669.69983829246,lever,lever
2015-01-07,38080.383900918285,lever,lever
2015-01-08,40252.26990817246,lever,lever
2015-01-09,39437.31040541264,lever,lever
2015-01-12,38225.18376980397,lever,lever
2015-01-13,38192.0813223429,lever,lever
2015-01-14,37604.63922037739,lever,lever
2015-01-15,36111.21771010407,lever,lever
2015-01-16,37397.78439865557,lever,lever
2015-01-20,38225.18376980397,lever,lever
2015-01-21,38812.61840336741,lever,lever
2015-01-22,40972.099394776014,lever,lever
2015-01-23,41245.136706213736,lever,lever
2015-01-26,41154.129248002544,lever,lever
2015-01-27,37968.68399002631,lever,lever
2015-01-28,37315.06188781224,lever,lever
2015-01-29,38394.80362825022,lever,lever
2015-01-30,37513.63425163356,lever,lever
2015-02-02,38498.21112337227,lever,lever
2015-02-03,39549.00284790255,lever,lever
2015-02-04,39445.565479172205,lever,lever
2015-02-05,40492.219708953264,lever,lever
2015-02-06,39755.84273282021,lever,lever
2015-02-09,39317.333015554876,lever,lever
2015-02-10,41199.63422184182,lever,lever
2015-02-11,41662.97388653715,lever,lever
2015-02-12,43119.147986198106,lever,lever
2015-02-13,44207.16471613451,lever,lever
2015-02-17,44327.15206386171,lever,lever
2015-02-18,44517.44694871723,lever,lever
2015-02-19,45187.62649833023,lever,lever
2015-02-20,46056.37094336247,lever,lever
2015-02-23,46238.41573339315,lever,lever
2015-02-24,46333.54823901676,lever,lever
2015-02-25,45961.2235009347,lever,lever
2015-02-26,46660.375471661624,lever,lever
2015-02-27,46043.96343804954,lever,lever
2015-03-02,47285.047557967984,lever,lever
2015-03-03,46606.58306098713,lever,lever
2015-03-04,46089.49081709504,lever,lever
2015-03-05,46292.18822832877,lever,lever
2015-03-06,44699.46684407433,lever,lever
2015-03-09,45129.69659290652,lever,lever
2015-03-10,42631.01322661578,lever,lever
2015-03-11,41882.23123463716,lever,lever
2015-03-12,42684.77576368198,lever,lever
2015-03-13,42134.57360392675,lever,lever
2015-03-16,43747.97250405783,lever,lever
2015-03-17,43992.04984171842,lever,lever
2015-03-18,45257.963909066864,lever,lever
2015-03-19,45477.21129929746,lever,lever
2015-03-20,46420.42567088082,lever,lever
2015-03-23,46031.550953801896,lever,lever
2015-03-24,45564.08375222678,lever,lever
2015-03-25,42387.02053084537,lever,lever
2015-03-26,42039.490887650296,lever,lever
2015-03-27,42444.94047839965,lever,lever
2015-03-30,43971.61629364288,lever,lever
2015-03-31,42610.4402683682,lever,lever
2015-04-01,41890.52613987446,lever,lever
2015-04-02,41960.87848741524,lever,lever
2015-04-06,42970.39235368034,lever,lever
2015-04-07,42771.78264784865,lever,lever
2015-04-08,43789.58146148162,lever,lever
2015-04-09,44604.64303240312,lever,lever
2015-04-10,45138.34002357395,lever,lever
2015-04-13,44803.227843561224,lever,lever
2015-04-14,44418.45576868851,lever,lever
2015-04-15,45204.54491849608,lever,lever
2015-04-16,45047.315139091246,lever,lever
2015-04-17,42941.424911501126,lever,lever
2015-04-20,44861.1477911155,lever,lever
2015-04-21,45436.24462445204,lever,lever
2015-04-22,46172.67885833434,lever,lever
2015-04-23,46727.093196859525,lever,lever
2015-04-24,48555.781234121765,lever,lever
2015-04-27,48245.48904366961,lever,lever
2015-04-28,47931.06433740296,lever,lever
2015-04-29,47016.69791356562,lever,lever
2015-04-30,44807.36533831045,lever,lever
2015-05-01,46619.51833337997,lever,lever
2015-05-04,46785.008165479085,lever,lever
2015-05-05,44567.40060072549,lever,lever
2015-05-06,43615.80170307994,lever,lever
2015-05-07,44364.648421209866,lever,lever
2015-05-08,45990.64402617308,lever,lever
2015-05-11,45485.894561442605,lever,lever
2015-05-12,44898.380264923704,lever,lever
2015-05-13,45130.07499194495,lever,lever
2015-05-14,47128.39533499024,lever,lever
2015-05-15,47124.26281917574,lever,lever
2015-05-18,47703.48221045735,lever,lever
2015-05-19,47566.95484160273,lever,lever
2015-05-20,47645.58217864194,lever,lever
2015-05-21,48394.428896771875,lever,lever
2015-05-22,48262.02408586232,lever,lever
2015-05-26,46590.55587013548,lever,lever
2015-05-27,48832.978445514935,lever,lever
2015-05-28,48473.03631807221,lever,lever
2015-05-29,47653.847210270935,lever,lever
2015-06-01,48071.71924313736,lever,lever
2015-06-02,47633.15475759015,lever,lever
2015-06-03,48051.03176939129,lever,lever
2015-06-04,47004.29040825269,lever,lever
2015-06-05,46648.470838755034,lever,lever
2015-06-08,45221.08991855822,lever,lever
2015-06-09,44997.67515997011,lever,lever
2015-06-10,46780.860712860434,lever,lever
2015-06-11,47037.39036624639,lever,lever
2015-06-12,45841.68425733196,lever,lever
2015-06-15,45208.68241324529,lever,lever
2015-06-16,45899.614162755664,lever,lever
2015-06-17,46284.39619549781,lever,lever
2015-06-18,48241.36150678981,lever,lever
2015-06-19,47504.89242036451,lever,lever
2015-06-22,48650.95855015781,lever,lever
2015-06-23,48770.925982146146,lever,lever
2015-06-24,48022.0742850815,lever,lever
2015-06-25,47707.64459988013,lever,lever
2015-06-26,46822.24063928728,lever,lever
2015-06-29,43512.38922902316,lever,lever
2015-06-30,44008.868683189925,lever,lever
2015-07-01,44910.79274917133,lever,lever
2015-07-02,45080.41509708494,lever,lever
2015-07-06,44699.78549589615,lever,lever
2015-07-07,44927.34272816818,lever,lever
2015-07-08,42676.62026861672,lever,lever
2015-07-09,42552.51534187918,lever,lever
2015-07-10,44530.17310585197,lever,lever
2015-07-13,46805.6856813557,lever,lever
2015-07-14,47744.86711581889,lever,lever
2015-07-15,47972.42932702563,lever,lever
2015-07-16,49846.644743333374,lever,lever
2015-07-17,52126.32468719462,lever,lever
2015-07-20,52709.68655216015,lever,lever
2015-07-21,52564.86427806824,lever,lever
2015-07-22,50839.59369379748,lever,lever
2015-07-23,50231.396902467226,lever,lever
2015-07-24,48804.01100333569,lever,lever
2015-07-27,47550.42477834471,lever,lever
2015-07-28,48804.01100333569,lever,lever
2015-07-29,49350.155331297174,lever,lever
2015-07-30,50036.94460712362,lever,lever
2015-07-31,49883.867259272156,lever,lever
2015-08-03,49424.62525784831,lever,lever
2015-08-04,49106.03816215886,lever,lever
2015-08-05,50256.226849897226,lever,lever
2015-08-06,47844.171968734736,lever,lever
2015-08-07,47653.84721027091,lever,lever
2015-08-10,49263.277899433124,lever,lever
2015-08-11,47384.92996731089,lever,lever
2015-08-12,47802.782084438455,lever,lever
2015-08-13,47587.65725215293,lever,lever
2015-08-14,47844.17196873474,lever,lever
2015-08-17,49019.16073029482,lever,lever
2015-08-18,48237.199117367025,lever,lever
2015-08-19,47331.12261983226,lever,lever
2015-08-20,43433.761891983966,lever,lever
2015-08-21,38030.40535423643,lever,base
2015-08-24,36493.99434541907,base,base
2015-08-25,36356.83744633466,base,base
2015-08-26,38187.85140637267,base,base
2015-08-27,39155.23654326163,base,base
2015-08-28,39147.82406473425,base,base
2015-08-31,38662.271482041695,base,base
2015-09-01,37453.95474668512,base,base
2015-09-02,38510.31414009362,base,base
2015-09-03,38321.27601986538,base,base
2015-09-04,37865.391736925616,base,base
2015-09-08,38932.85605889269,base,base
2015-09-09,38495.49224731276,base,base
2015-09-10,38914.32333043731,base,base
2015-09-11,39129.297464826646,base,base
2015-09-14,39010.68555129315,base,base
2015-09-15,39470.2867984552,base,base
2015-09-16,39692.682604193564,base,base
2015-09-17,39707.50143270054,base,base
2015-09-18,39142.746562907116,base,base
2015-09-21,39265.36961095584,base,base
2015-09-22,38678.30682728095,base,base
2015-09-23,38708.051733880864,base,base
2015-09-24,38566.84999326849,base,base
2015-09-25,38239.882776936865,base,base
2015-09-28,37151.247386699586,base,base
2015-09-29,36958.038789714104,base,base
2015-09-30,37808.88959076347,base,base
2015-10-01,37979.808659510796,base,base
2015-10-02,38644.87866347148,base,base
2015-10-05,39198.476512050285,base,base
2015-10-06,39012.698779235485,base,base
2015-10-07,39246.77253274889,base,base
2015-10-08,39402.82987315485,base,base
2015-10-09,39581.18287034673,base,base
