date,equity,held_asset,desired_asset
2014-02-04,12955.691985427247,lever,lever
2014-02-05,12942.647579673934,lever,lever
2014-02-06,13386.13341547546,lever,lever
2014-02-07,13948.649025922205,lever,lever
2014-02-10,14074.19073495359,lever,lever
2014-02-11,14558.441622295533,lever,lever
2014-02-12,14697.028592787772,lever,lever
2014-02-13,15091.600474136992,lever,lever
2014-02-14,15129.10442423908,lever,lever
2014-02-18,15174.759844375678,lever,lever
2014-02-19,14972.580112274723,lever,lever
2014-02-20,15179.647645849236,lever,lever
2014-02-21,15000.29647952412,lever,lever
2014-02-24,15163.342994365134,lever,lever
2014-02-25,15021.494066727024,lever,lever
2014-02-26,15036.16773963819,lever,lever
2014-02-27,15389.98227081486,lever,lever
2014-02-28,15318.238039171634,lever,lever
2014-03-03,14949.749835083794,lever,lever
2014-03-04,15588.8949115247,lever,lever
2014-03-05,15657.375474606974,lever,lever
2014-03-06,15662.268410325776,lever,lever
2014-03-07,15559.545854287282,lever,lever
2014-03-10,15463.348923955607,lever,lever
2014-03-11,15365.52272646608,lever,lever
2014-03-12,15456.826721078949,lever,lever
2014-03-13,14804.63895029981,lever,lever
2014-03-14,14548.657462272991,lever,lever
2014-03-17,15037.800429626197,lever,lever
2014-03-18,15650.854983145393,lever,lever
2014-03-19,15422.584728122727,lever,lever
2014-03-20,15815.529053729177,lever,lever
2014-03-21,15593.79127007366,lever,lever
2014-03-24,15517.154102711631,lever,lever
2014-03-25,15802.489782221111,lever,lever
2014-03-26,15272.586041865194,lever,lever
2014-03-27,15047.57945540348,lever,lever
2014-03-28,15197.583275906261,lever,lever
2014-03-31,15580.745152905267,lever,lever
2014-04-01,16123.689876184335,lever,lever
2014-04-02,16164.45407201721,lever,lever
2014-04-03,15936.183816994546,lever,lever
2014-04-04,15011.709906704487,lever,lever
2014-04-07,14713.336667102021,lever,lever
2014-04-08,15058.99630541402,lever,lever
2014-04-09,15611.726900130698,lever,lever
2014-04-10,14591.049213848639,lever,lever
2014-04-11,14131.25701514793,lever,lever
2014-04-14,14519.310116450659,lever,lever
2014-04-15,14693.768347056972,lever,lever
2014-04-16,15168.239352914094,lever,lever
2014-04-17,15044.320921087776,lever,lever
2014-04-21,15236.718204581286,lever,lever
2014-04-22,15450.306229617378,lever,lever
2014-04-23,14920.409334921787,lever,lever
2014-04-24,15293.78020623794,lever,lever
2014-04-25,14714.962511429716,lever,lever
2014-04-28,15106.284415538641,lever,lever
2014-04-29,15434.001578133277,lever,lever
2014-04-30,15548.135849937069,lever,lever
2014-05-01,15605.199563008802,lever,lever
2014-05-02,15526.936551319084,lever,lever
2014-05-05,15716.071877666727,lever,lever
2014-05-06,15210.631104489747,lever,lever
2014-05-07,15264.432860415609,lever,lever
2014-05-08,15332.911712082801,lever,lever
2014-05-09,15411.176435187605,lever,lever
2014-05-12,16040.533928775822,lever,lever
