market,capital,slippage_ticks,window,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
KOSPI,20000000.0,2,STRESS_2026_07_PLUS,10,7,3,-38193.821000000054,-0.0019096910499999398,0.6937946424634432,0.7,12362.696999999986,41577.56666666665,0.2973405610557614,0.003384880872083773
KOSPI,20000000.0,2,VALIDATION_2026_H1,31,13,18,-143302.6950000004,-0.007165134750000024,0.6638121224159726,0.41935483870967744,21765.774999999958,23680.987222222215,0.9191244771913468,0.00957995733722461
KOSDAQ,5000000.0,0,DEVELOPMENT_TO_2025,89,51,38,366229.38649999956,0.07324587729999976,1.9166594017059446,0.5730337078651685,15014.814117647054,10513.845618421059,1.4280991620554095,0.01475982260564479
KOSDAQ,5000000.0,0,STRESS_2026_07_PLUS,6,3,3,-49668.698999999804,-0.009933739800000008,0.38401216703951613,0.5,10321.2995,26877.532499999932,0.3840121670395162,0.00881133903244069
KOSDAQ,5000000.0,0,VALIDATION_2026_H1,19,8,11,-34270.973499999905,-0.006854194700000038,0.8192422694529058,0.42105263157894735,19415.649624999995,17236.015499999987,1.1264581204977455,0.0249388234176805
KOSDAQ,5000000.0,1,DEVELOPMENT_TO_2025,89,50,39,266351.0754999998,0.05327021509999996,1.5989323125142383,0.5617977528089888,14221.217729999997,11402.815666666665,1.247167203761106,0.016438619421888512
KOSDAQ,5000000.0,1,STRESS_2026_07_PLUS,6,3,3,-52698.64499999996,-0.010539728999999887,0.36586043534920776,0.5,10134.650833333319,27700.865833333304,0.3658604353492078,0.009061679648011078
KOSDAQ,5000000.0,1,VALIDATION_2026_H1,19,8,11,-42305.23299999982,-0.008461046600000022,0.7753369585196813,0.42105263157894735,18250.003687500037,17118.66022727274,1.0660883179645617,0.0244200626157135
KOSDAQ,5000000.0,2,DEVELOPMENT_TO_2025,89,46,43,178742.83450000008,0.035748566899999945,1.3615430318045145,0.5168539325842697,14633.296934782613,11497.414523255817,1.2727467471216114,0.02049654263894951
KOSDAQ,5000000.0,2,STRESS_2026_07_PLUS,7,4,3,-61114.785499999874,-0.012222957100000098,0.2599538299903159,0.5714285714285714,5366.902499999998,27527.46516666662,0.19496537249273693,0.00923629578262164
KOSDAQ,5000000.0,2,VALIDATION_2026_H1,19,7,12,-157456.04599999986,-0.03149120920000004,0.373434045429867,0.3684210526315789,13406.284071428594,20941.669541666666,0.6401726493083435,0.03764198227567361
KOSDAQ,20000000.0,0,DEVELOPMENT_TO_2025,92,55,37,1824295.5289999964,0.09121477644999976,2.0904998281838356,0.5978260869565217,63585.34601818177,45213.47302702705,1.4063362480509438,0.01677492110688794
KOSDAQ,20000000.0,0,STRESS_2026_07_PLUS,7,3,4,-295057.58250000066,-0.014752879125000007,0.30107255719721576,0.42857142857142855,42366.696666666634,105539.41812500014,0.40143007626295435,0.013515633963133156
KOSDAQ,20000000.0,0,VALIDATION_2026_H1,22,9,13,-244633.10299999977,-0.01223165515000002,0.7513051251361703,0.4090909090909091,82114.94961111111,75666.74226923076,1.0852185140855795,0.02900661092928203
