strategy,exit_spec,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,initial_stop,active_stop,first_entry,R,target1,target2,level,shares,cash_out,cash_in,commissions,taxes,partial_taken,added20,added60,bars_held,last_mark,mfe_R,mae_R,entry_i,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|3T|1285|1286|1287,2024-06-27 00:00:00+00:00,5000000.0,1,994860.3055,11912.934193622561,50475.94439383738,51179.72196918691,51179.72196918691,51800.0,620.2780308130896,52420.27803081309,inf,51700.0,0,155423.31,152701.65,46.26,275.4,False,False,False,1,51800.0,0.32243605297100497,-1.1285261853985173,1288,2024-06-27 00:00:00+00:00,51179.72196918691,stop,LOSS,-2721.6600000000035,1,"[{""time"": ""2024-06-27 00:00:00+00:00"", ""price"": 51800.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-06-27 00:00:00+00:00"", ""price"": 51000.0, ""shares"": 3, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,096770.KS,096770,KOSPI,SK이노베이션,KRLEVEL_RR|096770|3T|1288|1292|1293,2024-06-28 00:00:00+00:00,5000000.0,1,996960.7455000001,21934.609555029452,105614.2073735991,107971.03686799547,107971.03686799547,110400.0,2428.96313200453,112828.96313200453,inf,110200.0,0,110416.56,112480.235,33.464999999999996,202.85999999999999,False,False,False,1,110400.0,1.3997742309057242,-0.28818881224529613,1294,2024-06-28 00:00:00+00:00,112828.96313200453,target1_full,WIN,2063.675000000003,1,"[{""time"": ""2024-06-28 00:00:00+00:00"", ""price"": 110400.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-06-28 00:00:00+00:00"", ""price"": 112700.0, ""shares"": 1, ""reason"": ""target1_full""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,003490.KS,003490,KOSPI,대한항공,KRLEVEL_RR|003490|4T|1283|1286|1287,2024-06-27 00:00:00+00:00,5000000.0,1,994865.6455000001,9934.227043942625,21305.56454226206,22027.822711310295,23273.813499253713,22250.0,222.17728868970516,22472.177288689705,inf,22200.0,0,356053.4,364088.64,108.12,656.64,True,True,False,12,23450.0,7.651547149691954,-0.4500910088054091,1288,2024-06-28 05:00:00+00:00,23273.813499253713,stop,BE_STOP,8035.239999999991,2,"[{""time"": ""2024-06-27 00:00:00+00:00"", ""price"": 22250.0, ""shares"": 8, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2024-06-27 00:00:00+00:00"", ""price"": 22250.0, ""shares"": 8, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2024-06-27 00:00:00+00:00"", ""price"": 22400.0, ""shares"": 8, ""reason"": ""target1_partial""}, {""time"": ""2024-06-28 05:00:00+00:00"", ""price"": 23200.0, ""shares"": 8, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,032830.KS,032830,KOSPI,삼성생명,KRLEVEL_RR|032830|2T|1306|1309|1310,2024-07-02 05:00:00+00:00,5000000.0,1,996341.0965000002,14065.07851472019,87149.85153964204,87349.25769821017,87349.25769821017,88600.0,1250.7423017898254,89850.74230178983,inf,88250.0,0,353653.04,348119.83999999997,105.35999999999999,627.84,False,True,False,8,88300.0,4.957056294592207,-1.2792403340883114,1311,2024-07-04 00:00:00+00:00,87349.25769821017,stop,LOSS,-5533.200000000012,2,"[{""time"": ""2024-07-02 05:00:00+00:00"", ""price"": 88600.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2024-07-03 00:00:00+00:00"", ""price"": 88200.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2024-07-04 00:00:00+00:00"", ""price"": 87200.0, ""shares"": 4, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,329180.KS,329180,KOSPI,HD현대중공업,KRLEVEL_RR|329180|2T|1336|1339|1340,2024-07-09 05:00:00+00:00,5000000.0,1,995234.4565000002,13705.65050134431,146979.42516602261,150597.1258301131,155630.60503437716,152700.0,2102.874169886898,154802.8741698869,inf,152500.0,0,758413.7449999999,774386.9950000001,230.12999999999997,1396.62,True,True,True,7,156200.0,3.3287773944061008,-0.8084173672129101,1341,2024-07-10 05:00:00+00:00,155630.60503437716,stop,BE_STOP,15973.250000000233,3,"[{""time"": ""2024-07-09 05:00:00+00:00"", ""price"": 152700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2024-07-10 00:00:00+00:00"", ""price"": 152000.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}, {""time"": ""2024-07-10 00:00:00+00:00"", ""price"": 151200.0, ""shares"": 3, ""fraction"": 0.6, ""reason"": ""support60""}]","[{""time"": ""2024-07-10 00:00:00+00:00"", ""price"": 154700.0, ""shares"": 2, ""reason"": ""target1_partial""}, {""time"": ""2024-07-10 05:00:00+00:00"", ""price"": 155500.0, ""shares"": 3, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,035420.KS,035420,KOSPI,NAVER,KRLEVEL_RR|035420|2T|1412|1416|1418,2024-07-26 05:00:00+00:00,5000000.0,1,998429.1065000002,12349.104607503386,169064.62759413343,173823.13797066713,173823.13797066713,176000.0,2176.8620293328713,178176.86202933287,inf,175500.0,0,351352.695,346722.57,104.80499999999998,625.3199999999999,False,True,False,2,175300.0,0.09187536798613401,-1.1025044158336081,1419,2024-07-29 00:00:00+00:00,173823.13797066713,stop,LOSS,-4630.125,2,"[{""time"": ""2024-07-26 05:00:00+00:00"", ""price"": 176000.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2024-07-26 05:00:00+00:00"", ""price"": 175300.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2024-07-29 00:00:00+00:00"", ""price"": 173700.0, ""shares"": 2, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,034730.KS,034730,KOSPI,SK,KRLEVEL_RR|034730|2T|1437|1442|1443,2024-08-02 00:00:00+00:00,5000000.0,1,997503.0815000002,9267.904830422427,145024.79750071117,146723.98750355584,146723.98750355584,148100.0,1376.0124964441638,149476.01249644416,inf,148200.0,0,148122.215,146314.13,44.205,263.88,False,False,False,1,148100.0,0.0,-2.8342765854803087,1444,2024-08-02 00:00:00+00:00,146723.98750355584,stop,LOSS,-1808.0849999999919,1,"[{""time"": ""2024-08-02 00:00:00+00:00"", ""price"": 148100.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-08-02 00:00:00+00:00"", ""price"": 146600.0, ""shares"": 1, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|4T|1459|1461|1463,2024-08-07 02:00:00+00:00,5000000.0,1,997135.7357000001,29088.5067133298,51282.02451098324,52910.1225549162,52910.1225549162,54500.0,1589.8774450838027,56089.8774450838,inf,54100.0,0,163524.525,162282.93,48.91499999999999,292.68,False,False,False,1,54500.0,0.0,-0.3144896492154745,1464,2024-08-07 02:00:00+00:00,54300.0,ma32_exit,MA_EXIT,-1241.5950000000012,1,"[{""time"": ""2024-08-07 02:00:00+00:00"", ""price"": 54500.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-08-07 02:00:00+00:00"", ""price"": 54200.0, ""shares"": 3, ""reason"": ""ma32_exit""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,011200.KS,011200,KOSPI,HMM,KRLEVEL_RR|011200|4T|1459|1461|1463,2024-08-07 02:00:00+00:00,5000000.0,1,997141.4645000002,28519.00136987422,15700.698169435915,16863.49084717957,16863.49084717957,17360.0,496.5091528204284,17856.50915282043,inf,17325.0,0,190988.644,190148.486,57.221999999999994,342.936,False,False,False,1,17360.0,0.12084369373488688,-0.10070307811240574,1464,2024-08-07 02:00:00+00:00,17330.0,ma32_exit,MA_EXIT,-840.1579999999958,1,"[{""time"": ""2024-08-07 02:00:00+00:00"", ""price"": 17360.0, ""shares"": 11, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-08-07 02:00:00+00:00"", ""price"": 17320.0, ""shares"": 11, ""reason"": ""ma32_exit""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,035720.KS,035720,KOSPI,카카오,KRLEVEL_RR|035720|2T|1522|1525|1527,2024-08-23 00:00:00+00:00,5000000.0,1,997259.1918999999,10430.989415449703,36271.55257003265,37107.76285016324,37107.76285016324,37500.0,392.23714983675745,37892.23714983676,inf,37375.0,0,374556.175,369777.52499999997,111.75,666.9,False,True,False,2,37300.0,0.76484341201453,-1.0197912160193732,1528,2024-08-23 01:00:00+00:00,37107.76285016324,stop,LOSS,-4778.650000000023,2,"[{""time"": ""2024-08-23 00:00:00+00:00"", ""price"": 37500.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2024-08-23 00:00:00+00:00"", ""price"": 37400.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2024-08-23 01:00:00+00:00"", ""price"": 37050.0, ""shares"": 10, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,086790.KS,086790,KOSPI,하나금융지주,KRLEVEL_RR|086790|2T|1517|1523|1525,2024-08-22 04:00:00+00:00,5000000.0,1,996725.1138999999,15504.012330815629,62095.296818121504,64776.48409060753,65800.0,65800.0,1023.5159093924667,66823.51590939247,inf,65500.0,0,197429.61,197713.70500000002,59.32499999999999,356.58,True,False,False,4,66100.0,1.1724292597584436,-0.19540487662640726,1526,2024-08-23 01:00:00+00:00,65800.0,stop,BE_STOP,284.09500000003027,1,"[{""time"": ""2024-08-22 04:00:00+00:00"", ""price"": 65800.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-08-23 00:00:00+00:00"", ""price"": 66700.0, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2024-08-23 01:00:00+00:00"", ""price"": 65700.0, ""shares"": 2, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|2T|1592|1597|1598,2024-09-09 05:00:00+00:00,5000000.0,1,995826.2028999999,21354.343761245986,162375.1980044026,165375.99002201293,165375.99002201293,169000.0,3624.009977987065,172624.00997798707,inf,168500.0,0,169025.35,170167.525,50.925,306.9,False,False,False,1,169000.0,0.6070623462306185,-0.08278122903144798,1599,2024-09-09 05:00:00+00:00,170600.0,ma32_exit,MA_EXIT,1142.1749999999884,1,"[{""time"": ""2024-09-09 05:00:00+00:00"", ""price"": 169000.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-09-09 05:00:00+00:00"", ""price"": 170500.0, ""shares"": 1, ""reason"": ""ma32_exit""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,035420.KS,035420,KOSPI,NAVER,KRLEVEL_RR|035420|3T|1638|1643|1644,2024-09-24 03:00:00+00:00,5000000.0,1,996054.6379000001,11804.455844857841,159407.25079547506,163736.25397737537,163736.25397737537,165700.0,1963.746022624633,167663.74602262463,inf,165400.0,0,165724.855,167173.375,49.97999999999999,301.5,False,False,False,4,169200.0,2.087846367485022,-0.25461541066890514,1645,2024-09-25 00:00:00+00:00,167663.74602262463,target1_full,WIN,1448.5199999999895,1,"[{""time"": ""2024-09-24 03:00:00+00:00"", ""price"": 165700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-09-25 00:00:00+00:00"", ""price"": 167500.0, ""shares"": 1, ""reason"": ""target1_full""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,086790.KS,086790,KOSPI,하나금융지주,KRLEVEL_RR|086790|2T|1669|1674|1675,2024-10-02 04:00:00+00:00,5000000.0,1,996344.3419,17488.034626960383,57489.72465038396,58848.6232519198,58848.6232519198,59900.0,1051.376748080198,60951.3767480802,inf,59850.0,0,179726.955,178451.34,53.77499999999999,321.84,False,False,False,1,59900.0,0.0,-0.3804535345967993,1676,2024-10-02 04:00:00+00:00,59700.0,ma32_exit,MA_EXIT,-1275.6149999999907,1,"[{""time"": ""2024-10-02 04:00:00+00:00"", ""price"": 59900.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-10-02 04:00:00+00:00"", ""price"": 59600.0, ""shares"": 3, ""reason"": ""ma32_exit""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,032830.KS,032830,KOSPI,삼성생명,KRLEVEL_RR|032830|4T|1702|1704|1705,2024-10-11 04:00:00+00:00,5000000.0,1,996089.2189,12348.263309816353,93258.26348687186,96291.3174343593,98953.71763105015,97500.0,1208.6825656407018,98708.6825656407,inf,97200.0,0,195029.25,197015.07,58.85999999999999,355.32,True,False,False,8,99300.0,2.4820412615199356,-0.24820412615199358,1706,2024-10-14 05:00:00+00:00,98953.71763105015,stop,BE_STOP,1985.820000000007,1,"[{""time"": ""2024-10-11 04:00:00+00:00"", ""price"": 97500.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-10-14 00:00:00+00:00"", ""price"": 98600.0, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2024-10-14 05:00:00+00:00"", ""price"": 98800.0, ""shares"": 1, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,011200.KS,011200,KOSPI,HMM,KRLEVEL_RR|011200|2T|1738|1740|1741,2024-10-21 04:00:00+00:00,5000000.0,1,996486.3829000001,9714.645862363634,16805.97633982616,17279.881699130798,17279.881699130798,17450.0,170.11830086920236,17620.118300869202,inf,17425.0,0,191978.7925,189489.77300000002,57.271499999999996,341.748,False,False,False,3,17400.0,0.5878262332098313,-2.939131166049157,1742,2024-10-22 00:00:00+00:00,17279.881699130798,stop,LOSS,-2489.019499999995,1,"[{""time"": ""2024-10-21 04:00:00+00:00"", ""price"": 17450.0, ""shares"": 11, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-10-22 00:00:00+00:00"", ""price"": 17260.0, ""shares"": 11, ""reason"": ""stop""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,035420.KS,035420,KOSPI,NAVER,KRLEVEL_RR|035420|5T|1798|1801|1803,2024-11-05 00:00:00+00:00,5000000.0,1,995988.5789999999,10140.543783266687,168145.48415315378,172327.4207657689,172327.4207657689,174100.0,1772.5792342310888,175872.5792342311,inf,174600.0,0,174126.115,175357.38499999998,52.47,316.26,False,False,False,2,175000.0,1.2975442539231237,-0.22565987024749978,1804,2024-11-05 01:00:00+00:00,175872.5792342311,target1_full,WIN,1231.2699999999895,1,"[{""time"": ""2024-11-05 00:00:00+00:00"", ""price"": 174100.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-11-05 01:00:00+00:00"", ""price"": 175700.0, ""shares"": 1, ""reason"": ""target1_full""}]"
KOSPI|VALIDATE|no_min_risk_pct|combo_cap_trail_time18|5000000.0|1T,combo_cap_trail_time18,017670.KS,017670,KOSPI,SK텔레콤,KRLEVEL_RR|017670|3T|1870|1873|1874,2024-11-21 00:00:00+00:00,5000000.0,1,996234.8329999999,9348.499177657297,55294.15038780924,55870.75193904621,57007.285135605474,56400.0,529.2480609537888,56929.24806095379,inf,56200.0,0,169225.38,170267.33000000002,50.97,307.08,True,False,False,4,57600.0,2.456315092883277,-0.18894731483717514,1875,2024-11-21 03:00:00+00:00,57007.285135605474,stop,BE_STOP,1041.9500000000116,1,"[{""time"": ""2024-11-21 00:00:00+00:00"", ""price"": 56400.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2024-11-21 00:00:00+00:00"", ""price"": 56800.0, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2024-11-21 03:00:00+00:00"", ""price"": 56900.0, ""shares"": 2, ""reason"": ""stop""}]"
