market,symbol,name,yf_ticker,marcap_snapshot,universe_source,pit_date,frozen_at_utc
KOSDAQ,214370,케어젠,214370.KQ,2109925200000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414859+00:00
KOSDAQ,328130,루닛,328130.KQ,2081246772400.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414898+00:00
KOSDAQ,357780,솔브레인,357780.KQ,1987423613000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414938+00:00
KOSDAQ,383310,에코프로에이치엔,383310.KQ,1897811568000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414978+00:00
KOSDAQ,005290,동진쎄미켐,005290.KQ,1874058306300.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415018+00:00
KOSDAQ,121600,나노신소재,121600.KQ,1692166995200.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415057+00:00
KOSDAQ,372170,윤성에프앤씨,372170.KQ,1577457789600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415096+00:00
KOSDAQ,095340,ISC,095340.KQ,1576392072600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415136+00:00
KOSDAQ,365340,성일하이텍,365340.KQ,1554410774000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415175+00:00
KOSDAQ,253450,스튜디오드래곤,253450.KQ,1548012647000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415217+00:00
KOSDAQ,122870,와이지엔터테인먼트,122870.KQ,1518419693700.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415257+00:00
KOSDAQ,086900,메디톡스,086900.KQ,1503484408000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415297+00:00
KOSDAQ,000250,삼천당제약,000250.KQ,1483194854200.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415339+00:00
KOSDAQ,112040,위메이드,112040.KQ,1443130277400.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415379+00:00
KOSDAQ,440110,파두,440110.KQ,1391133684150.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415418+00:00
KOSDAQ,078600,대주전자재료,078600.KQ,1377772777000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415456+00:00
KOSDAQ,140860,파크시스템스,140860.KQ,1338346067800.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415496+00:00
KOSDAQ,034230,파라다이스,034230.KQ,1315504522150.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415554+00:00
KOSDAQ,039200,오스코텍,039200.KQ,1282142781900.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415598+00:00
KOSDAQ,009520,포스코엠텍,009520.KQ,1261773900900.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415638+00:00
KOSDAQ,140410,메지온,140410.KQ,1184847980250.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415677+00:00
KOSDAQ,225570,넥슨게임즈,225570.KQ,1180504546500.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415716+00:00
KOSDAQ,281740,레이크머티리얼즈,281740.KQ,1168031837960.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415755+00:00
KOSDAQ,222800,심텍,222800.KQ,1141971026550.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415793+00:00
KOSDAQ,336570,원텍,336570.KQ,1141852199250.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415832+00:00
KOSDAQ,096530,씨젠,096530.KQ,1130692770100.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415871+00:00
KOSDAQ,101490,에스앤에스텍,101490.KQ,1113330099300.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415911+00:00
KOSDAQ,420770,기가비스,420770.KQ,1109128825000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415950+00:00
KOSDAQ,064550,바이오니아,064550.KQ,1104680454800.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.415990+00:00
KOSDAQ,348370,엔켐,348370.KQ,1026290200800.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.416029+00:00
KOSDAQ,067160,아프리카TV,067160.KQ,971307811500.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.416068+00:00
KOSDAQ,085370,루트로닉,085370.KQ,960908511250.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.416108+00:00
