period_type,period,trades,pnl,pf,winrate,cost_bps_side
month,2025-08,13,-51.477173693091146,0.41218528073084637,0.38461538461538464,5.0
month,2025-09,12,61.31926228950934,2.253346026044342,0.5,5.0
month,2025-10,19,81.26870778356206,2.172100480529032,0.631578947368421,5.0
month,2025-11,8,39.29959182606646,2.444796917112967,0.75,5.0
month,2025-12,13,-46.41382945801746,0.3232072772894553,0.38461538461538464,5.0
month,2026-01,14,-40.31597400027337,0.5346112610028723,0.42857142857142855,5.0
month,2026-02,11,-42.5938287322484,0.6190662858980303,0.45454545454545453,5.0
month,2026-03,11,-23.399174686752673,0.6942830995649634,0.45454545454545453,5.0
month,2026-04,11,119.77410080295269,8.545195688237218,0.8181818181818182,5.0
month,2026-05,11,48.03383792895923,3.3836012539136666,0.6363636363636364,5.0
month,2026-06,9,14.497690739889208,1.341750912281504,0.5555555555555556,5.0
month,2026-07,15,-11.807405375286635,0.845212812167383,0.6,5.0
month,2026-08,4,15.566056943109373,12.57060161431029,0.75,5.0
year,2023,52,-86.5976197779294,0.6577062602556691,0.4807692307692308,10.0
year,2024,162,157.73846262985984,1.2560993370698692,0.5370370370370371,10.0
year,2025,139,64.88995917861038,1.108252912526209,0.5179856115107914,10.0
year,2026,86,32.0475129025792,1.0731659606421884,0.5465116279069767,10.0
month,2023-09,6,-45.718715434918664,0.2537644520031477,0.5,10.0
month,2023-10,17,37.62872184045011,1.5998308381028818,0.5882352941176471,10.0
month,2023-11,13,-28.917880951950508,0.44302555554182815,0.5384615384615384,10.0
month,2023-12,16,-49.589745231510335,0.3566000108046878,0.3125,10.0
month,2024-01,15,80.83195528961107,3.1472634844455367,0.5333333333333333,10.0
month,2024-02,15,26.056951441147817,1.7584873968583912,0.6,10.0
month,2024-03,14,42.96158737299416,2.99368814098667,0.7142857142857143,10.0
month,2024-04,12,-40.647298828534076,0.33630640455456123,0.4166666666666667,10.0
month,2024-05,18,-11.30702531762364,0.8158750663047779,0.5,10.0
month,2024-06,14,62.515991228741,2.6381382462296354,0.6428571428571429,10.0
month,2024-07,17,-132.11263448696255,0.15165457425824397,0.29411764705882354,10.0
month,2024-08,12,-11.036635092049124,0.761521661032181,0.5833333333333334,10.0
month,2024-09,11,25.373784172131053,1.5663503760163744,0.5454545454545454,10.0
month,2024-10,13,45.497719722439456,3.9071875157438685,0.6923076923076923,10.0
month,2024-11,12,33.69948052956099,1.7436578732050854,0.6666666666666666,10.0
month,2024-12,9,35.90458659840368,1.6675418805350515,0.2222222222222222,10.0
month,2025-01,13,15.724839490340997,1.3179510536796202,0.46153846153846156,10.0
month,2025-02,13,-12.271276727057852,0.7431089597045263,0.6153846153846154,10.0
month,2025-03,10,-30.504732423671896,0.48680206779872465,0.4,10.0
month,2025-04,7,20.32110349137085,1.5430961712348081,0.7142857142857143,10.0
month,2025-05,10,11.723984143797622,1.3582718654808628,0.5,10.0
month,2025-06,9,-13.333812730707649,0.7104707586708902,0.3333333333333333,10.0
month,2025-07,12,27.374184772658424,2.9768086534934843,0.6666666666666666,10.0
month,2025-08,13,-56.45066447563721,0.3703524857589753,0.38461538461538464,10.0
month,2025-09,12,53.073497360437955,2.0321440333361167,0.5,10.0
month,2025-10,19,67.64896247826525,1.9374139696181318,0.5789473684210527,10.0
month,2025-11,8,33.8371664552989,2.221621492224459,0.75,10.0
month,2025-12,13,-52.253292656485,0.27206080924112586,0.38461538461538464,10.0
month,2026-01,14,-46.64272040046529,0.4784216828153839,0.42857142857142855,10.0
month,2026-02,11,-46.1670600900743,0.580921437259162,0.45454545454545453,10.0
month,2026-03,11,-30.141587790940463,0.6155498963361478,0.45454545454545453,10.0
month,2026-04,11,111.07845476235639,8.100045554274079,0.8181818181818182,10.0
month,2026-05,11,41.965747112473224,2.981533876442046,0.6363636363636364,10.0
month,2026-06,9,7.750086050189054,1.1762734740102245,0.5555555555555556,10.0
month,2026-07,15,-18.60802000530714,0.7599859534577856,0.4666666666666667,10.0
month,2026-08,4,12.812613264347732,8.529139031581472,0.75,10.0
year,2023,52,-122.74388434630566,0.5567939892577243,0.4807692307692308,20.0
year,2024,163,-42.92623251732668,0.9391755183424991,0.5030674846625767,20.0
year,2025,149,-100.36853865399296,0.8395038538324714,0.5234899328859061,20.0
year,2026,31,-104.99569141355994,0.45909319208734267,0.41935483870967744,20.0
month,2023-09,6,-53.6406968168574,0.2014972678002631,0.5,20.0
month,2023-10,17,22.219854002665045,1.3164463400743376,0.5882352941176471,20.0
month,2023-11,13,-25.541724263266758,0.4762548713963561,0.6153846153846154,20.0
month,2023-12,16,-65.78131726884655,0.2754129442717116,0.25,20.0
month,2024-01,15,65.97844566702275,2.5619824887823857,0.4666666666666667,20.0
month,2024-02,15,15.83270805207141,1.413397301312405,0.6,20.0
month,2024-03,14,31.60423652771516,2.252281288211214,0.7142857142857143,20.0
month,2024-04,12,-53.51858204265295,0.2350612319795356,0.25,20.0
month,2024-05,18,-25.609147299071594,0.6301008616667961,0.5,20.0
month,2024-06,14,47.471268040955664,2.100285205612787,0.6428571428571429,20.0
month,2024-07,17,-146.81668966967842,0.12553374079311116,0.29411764705882354,20.0
