strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,market,symbol,name,ticker,atr_ratio_max,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2023-12-28,2024-01-02,2024-01-02,489,489,86367.8828125,79409.5390625,pivot,2023-12-21,8.05663346536604,0.09867055496442508,0.7955804449220929,0.9799524529621725,1.328468330443898,93326.2265625,7.948630833216774,1.0,True,same_bar_BE_after_TP1,P1_2023_08_08_2024_08_07,KOSDAQ,068760,셀트리온제약,068760.KQ,0.9,5.0,1.328468330443898,0.7955804449220929,0.9799524529621725
SOR_E1_BE,2023-10-13,2023-10-16,2023-10-27,307,316,34900.0,30300.0,pivot,2023-10-10,13.180515759312321,0.0,0.8786482334869432,0.4488191203859373,3.6443918927289904,33050.0,-5.395511413347764,-0.40217391304347827,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,403870,HPSP,403870.KQ,0.9,5.0,3.6443918927289904,0.8786482334869432,0.4488191203859373
SOR_E1_BE,2023-11-28,2023-11-29,2024-01-02,339,360,41000.0,35500.0,pivot,2023-11-24,13.414634146341463,0.0,0.7203065134099617,0.4906852183418803,4.000183612138234,44000.0,7.209809729281691,0.5454545454545454,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,403870,HPSP,403870.KQ,0.9,5.0,4.000183612138234,0.7203065134099617,0.4906852183418803
SOR_E1_BE,2023-11-28,2023-11-29,2023-12-05,468,472,188800.0,158400.0,pivot,2023-11-20,16.10169491525424,0.0,0.6782608695652174,0.5266774037716098,4.822513866713158,162100.0,-14.22776429581818,-0.8782894736842105,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,277810,레인보우로보틱스,277810.KQ,0.9,5.0,4.822513866713158,0.6782608695652174,0.5266774037716098
SOR_E1_BE,2023-12-01,2023-12-04,2024-01-10,471,495,288000.0,264500.0,pivot,2023-11-27,8.159722222222221,0.0,0.84375,0.8788786417070706,2.8675040097643585,293000.0,1.6344258426342462,0.2127659574468085,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,357780,솔브레인,357780.KQ,0.9,5.0,2.8675040097643585,0.84375,0.8788786417070706
SOR_E1_BE,2023-12-26,2023-12-27,2024-01-10,487,495,305000.0,286500.0,pivot,2023-12-20,6.065573770491803,0.0,0.636144578313253,0.6467666310756233,1.1557005296960763,293000.0,-4.030443794496197,-0.6486486486486487,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,357780,솔브레인,357780.KQ,0.9,5.0,1.1557005296960763,0.636144578313253,0.6467666310756233
SOR_E1_BE,2023-11-30,2023-12-01,2023-12-21,470,484,38450.0,36400.0,pivot,2023-11-27,5.331599479843953,0.0,0.7475915221579962,0.9357000887847559,1.8779631470545608,37300.0,-3.087857891600365,-0.5609756097560976,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,005290,동진쎄미켐,005290.KQ,0.9,5.0,1.8779631470545608,0.7475915221579962,0.9357000887847559
SOR_E1_BE,2024-01-02,2024-01-03,2024-01-18,490,501,40600.0,37050.0,pivot,2023-12-26,8.74384236453202,0.0,0.7264957264957265,0.831998509733744,3.4776445163639136,40150.0,-1.2072165887499375,-0.1267605633802817,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,005290,동진쎄미켐,005290.KQ,0.9,5.0,3.4776445163639136,0.7264957264957265,0.831998509733744
SOR_E1_BE,2024-03-21,2024-03-22,2024-04-22,544,564,47200.0,38050.0,pivot,2024-03-15,19.385593220338983,0.0,0.8706240487062404,0.89265805153893,14.196546921564579,43850.0,-7.190313741434351,-0.366120218579235,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,005290,동진쎄미켐,005290.KQ,0.9,5.0,14.196546921564579,0.8706240487062404,0.89265805153893
SOR_E1_BE,2023-08-30,2023-08-31,2023-09-22,409,425,250000.0,211500.0,pivot,2023-08-18,15.4,0.18509949097639983,0.7861936720997124,0.5914712013363689,1.28309297455657,253000.0,1.0988505747126398,0.07792207792207792,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,086900,메디톡스,086900.KQ,0.9,5.0,1.28309297455657,0.7861936720997124,0.5914712013363689
