period,market,symbol,ticker,raw_signals,accepted_candidates,gap_rejects,stop_rejects,pivot_stops,fallback_stops,cost_bps_side
P3_2025_08_08_2026_08_17,KOSDAQ,028300,028300.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,068760,068760.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,041510,041510.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,403870,403870.KQ,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,277810,277810.KQ,4,3,1,0,3,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,393890,393890.KQ,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,214370,214370.KQ,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,328130,328130.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,357780,357780.KQ,2,1,1,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,383310,383310.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,005290,005290.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,121600,121600.KQ,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,372170,372170.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,095340,095340.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,365340,365340.KQ,1,0,1,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,253450,253450.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,122870,122870.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,086900,086900.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,000250,000250.KQ,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,112040,112040.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,440110,440110.KQ,1,1,0,0,1,0,5.0
