variant,entry_mode,exit_mode,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,resolved_tickers,setups_before,setups_after_v028_filter,entry_candidates
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,50000000,1,49218961.94100003,-0.015620761179999443,128,75,53,0.8785760845813344,0.02886517043709802,144688.34699999998,839109.712,-781038.059000004,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,50000000,2,47677009.805500016,-0.04645980388999971,126,66,60,0.6925918812785414,0.050643025493980476,147044.38649999996,846955.808,-2322990.194500002,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,5000000,0,4937344.243,-0.012531151400000051,86,45,41,0.8379090850040098,0.03440710575499484,9282.080999999998,54733.67600000001,-62655.75700000052,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,5000000,1,4866452.026499999,-0.026709594700000228,86,46,40,0.6988465921184795,0.040875205712082585,9478.294499999998,55579.679000000004,-133547.9735000003,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,5000000,2,4794511.835,-0.04109763300000002,86,42,44,0.5816569181600872,0.04632292314030739,9409.616999999998,55118.547999999995,-205488.16499999963,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,10000000,0,10180087.916500013,0.018008791650001355,109,60,49,1.1947237886439261,0.02586190435571145,24251.371499999994,142230.712,180087.9165,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,10000000,1,10018271.122499987,0.0018271122499986525,106,61,45,1.017957203900396,0.030370662239963986,24162.5775,140916.3,18271.122500001016,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,10000000,2,9746253.121499987,-0.0253746878500013,105,54,51,0.780530616906735,0.0432059567897255,23861.164499999995,138415.714,-253746.87849999985,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,20000000,0,21132044.39900004,0.05660221995000203,123,69,54,1.5803639071702404,0.023591448164887896,54688.916999999994,322126.684,1132044.3990000014,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,20000000,1,20644624.37099999,0.03223121854999933,119,70,49,1.2990041060464388,0.02526737262975698,54124.995,316830.6339999999,644624.3710000005,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,20000000,2,20120397.25699997,0.0060198628499985585,119,65,54,1.0490710754727324,0.029594381110569112,54035.487,315227.256,120397.25700000225,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,50000000,0,52785384.511000015,0.05570769022000022,131,70,61,1.4767967735939138,0.027733867379056143,151828.503,891546.986,2785384.511000011,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,50000000,1,51526085.25750001,0.03052170515000019,127,71,56,1.2369207751796782,0.02999634777843374,150761.3175,881063.425,1526085.2574999968,40,2803,157,157
NEXT_OPEN|TRAIL_AVG,NEXT_OPEN,TRAIL_AVG,50000000,2,49973642.34000002,-0.0005271531999996304,127,66,61,0.9963846118082416,0.03451909755847404,150013.13999999993,872844.52,-26357.659999998054,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,5000000,0,4967074.768000001,-0.006585046399999794,85,46,39,0.9172279995414467,0.03150108774096183,9415.145999999999,55570.086,-32925.232000000295,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,5000000,1,4870145.163999998,-0.02597096720000036,85,45,40,0.7219481562641167,0.0378022494605601,9731.577,56983.259000000005,-129854.83600000034,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,5000000,2,4797771.129999998,-0.04044577400000038,85,41,44,0.6086974392676213,0.04406900286710558,9676.932,56591.938,-202228.86999999965,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,10000000,0,10198952.059000012,0.019895205900001045,106,58,48,1.2110185126253314,0.024701838309073687,24088.508999999995,141379.432,198952.0590000004,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,10000000,1,9972703.34999998,-0.002729665000002046,103,56,47,0.9745629063587232,0.0313848945045615,24222.584999999995,140774.065,-27296.649999998393,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,10000000,2,9727001.346499987,-0.027299865350001284,103,50,53,0.7771483952576179,0.041786659650497104,24207.169499999996,140221.484,-272998.65349999955,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,20000000,0,21183239.539000027,0.05916197695000136,119,67,52,1.6005470462240965,0.024639692530632917,54617.59199999999,321802.869,1183239.5390000008,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,20000000,1,20633206.597999986,0.03166032989999934,117,66,51,1.2772124554835098,0.027707751486881205,54789.19499999999,320304.20699999994,633206.5980000002,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,20000000,2,20063938.229499977,0.003196911474998787,117,60,57,1.0243969995356064,0.03241398700039888,54648.86849999999,318302.90199999994,63938.229500002635,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,50000000,0,52993666.466000035,0.05987332932000067,127,67,60,1.5089315976881421,0.027801965867504386,151654.11899999998,890959.4149999997,2993666.466000011,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,50000000,1,51467876.63050001,0.02935753261000018,125,67,58,1.2156514792375699,0.0306308288789382,152495.9415,889997.428,1467876.6304999974,40,2803,157,157
NEXT_OPEN|TRAIL_P70,NEXT_OPEN,TRAIL_P70,50000000,2,49899192.20250003,-0.0020161559499993764,125,61,64,0.986954390261286,0.037616287375562885,151733.13149999996,881704.6659999999,-100807.79749999719,40,2803,157,157
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,5000000,0,5014013.989000001,0.0028027978000002562,53,34,19,1.071766941248495,0.012194598185556127,5473.371,32632.64,14013.989000000263,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,5000000,1,4993705.816999998,-0.0012588366000003681,52,34,18,0.9694142887040426,0.013265052683566148,5309.739,31584.444000000003,-6294.183000000034,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,5000000,2,4948517.586999998,-0.010296482600000267,52,31,21,0.7839576229659198,0.01782683088359982,5311.164,31471.249,-51482.413000000175,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,10000000,0,10075000.192999994,0.007500019299999439,70,44,26,1.1279466391282538,0.025299460074270086,15852.837,93666.97000000002,75000.19300000029,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,10000000,1,10002478.861499997,0.0002478861499997098,69,43,26,1.0039892262760826,0.022166899376096838,15418.045499999998,90753.09300000001,2478.8615000000573,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,10000000,2,9836535.500999996,-0.016346449900000337,68,40,28,0.7660248234531901,0.026885093547469596,15084.626999999999,88479.872,-163464.49900000004,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,20000000,0,19940579.09400001,-0.002971045299999364,84,51,33,0.9614628094589529,0.02636217052995138,37068.936,219171.97,-59420.906000001705,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,20000000,1,19724632.54099998,-0.013768372950001107,82,49,33,0.8346461038317241,0.026553511108927563,36232.281,213615.178,-275367.4590000003,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,20000000,2,19334442.439499978,-0.03327787802500115,81,45,36,0.6378323450046474,0.03824341977639656,35365.5285,208382.032,-665557.5604999998,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,50000000,0,49789576.86250005,-0.004208462749998976,90,53,37,0.9516876046964041,0.027937674564216808,103136.9775,608136.16,-210423.13750000042,40,2803,157,106
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,50000000,1,49189425.33599999,-0.016211493280000266,88,51,37,0.8269151933295998,0.02816000421080933,100425.96899999998,590588.6950000001,-810574.6639999993,40,2803,157,106
