scenario,period,trades,pnl,pf,winrate
V029|PULLBACK|LEGACY_R|20M|0T,2026,23,-309016.6394999998,0.5048892224292488,0.5217391304347826
V029|PULLBACK|LEGACY_R|20M|1T,2023,5,31446.499999999534,6.984702577609631,0.8
V029|PULLBACK|LEGACY_R|20M|1T,2024,30,-386798.79150000005,0.5170086102281227,0.5
V029|PULLBACK|LEGACY_R|20M|1T,2025,25,369626.5400000004,2.3866379305089565,0.72
V029|PULLBACK|LEGACY_R|20M|1T,2026,22,-289641.7075000002,0.5112887804467663,0.5454545454545454
V029|PULLBACK|LEGACY_R|20M|2T,2023,5,19701.8675000004,2.2946638456184747,0.4
V029|PULLBACK|LEGACY_R|20M|2T,2024,30,-530956.4579999986,0.41152675425741997,0.5
V029|PULLBACK|LEGACY_R|20M|2T,2025,24,185283.54999999978,1.6217059744101483,0.7083333333333334
V029|PULLBACK|LEGACY_R|20M|2T,2026,22,-339586.52000000136,0.4542186901533799,0.5
V029|PULLBACK|LEGACY_R|50M|0T,2023,5,101415.72000000044,33.25793441267325,0.8
V029|PULLBACK|LEGACY_R|50M|0T,2024,32,-633313.666,0.6511872987893661,0.53125
V029|PULLBACK|LEGACY_R|50M|0T,2025,29,916771.5774999966,2.0529342254677774,0.6551724137931034
V029|PULLBACK|LEGACY_R|50M|0T,2026,24,-595296.7689999975,0.6426823660086203,0.5416666666666666
V029|PULLBACK|LEGACY_R|50M|1T,2023,5,70816.22500000102,6.390921651619382,0.8
V029|PULLBACK|LEGACY_R|50M|1T,2024,31,-1061418.1039999994,0.4991215639152099,0.4838709677419355
V029|PULLBACK|LEGACY_R|50M|1T,2025,29,730678.2199999993,1.7475353208946502,0.6551724137931034
V029|PULLBACK|LEGACY_R|50M|1T,2026,23,-550651.0050000004,0.6500265210962691,0.5652173913043478
V029|PULLBACK|LEGACY_R|50M|2T,2023,5,39732.25999999931,2.0180933832946817,0.4
V029|PULLBACK|LEGACY_R|50M|2T,2024,31,-1398161.0035000024,0.40958972516529674,0.4838709677419355
V029|PULLBACK|LEGACY_R|50M|2T,2025,28,300655.4199999991,1.2907645126496474,0.6428571428571429
V029|PULLBACK|LEGACY_R|50M|2T,2026,23,-693112.9000000003,0.5792616481044643,0.5217391304347826
V029|PULLBACK|TRAIL_AVG|5M|0T,2023,4,3807.4100000000035,13.110467890199542,0.75
V029|PULLBACK|TRAIL_AVG|5M|0T,2024,24,27096.258499999734,1.2383540754276543,0.5833333333333334
V029|PULLBACK|TRAIL_AVG|5M|0T,2025,16,78358.27750000017,5.492690760081876,0.75
V029|PULLBACK|TRAIL_AVG|5M|0T,2026,10,-57258.289999999644,0.3164554710444128,0.4
V029|PULLBACK|TRAIL_AVG|5M|1T,2023,4,909.9649999999674,1.6927155493977941,0.75
V029|PULLBACK|TRAIL_AVG|5M|1T,2024,24,4476.36700000042,1.0345440607595986,0.5416666666666666
V029|PULLBACK|TRAIL_AVG|5M|1T,2025,16,67741.00249999997,4.016216487582386,0.6875
V029|PULLBACK|TRAIL_AVG|5M|1T,2026,8,-37062.065,0.4029170853344401,0.5
V029|PULLBACK|TRAIL_AVG|5M|2T,2023,4,-2037.4875000000175,0.44037483442889525,0.25
V029|PULLBACK|TRAIL_AVG|5M|2T,2024,24,59.941499999622465,1.0004127884686207,0.5833333333333334
V029|PULLBACK|TRAIL_AVG|5M|2T,2025,16,56298.55499999998,2.981984425708791,0.6875
V029|PULLBACK|TRAIL_AVG|5M|2T,2026,8,-41180.285000000134,0.36343587360285856,0.5
V029|PULLBACK|TRAIL_AVG|10M|0T,2023,5,28210.304999999993,45.86514361143602,0.8
V029|PULLBACK|TRAIL_AVG|10M|0T,2024,31,76255.4614999989,1.28675412729311,0.5483870967741935
V029|PULLBACK|TRAIL_AVG|10M|0T,2025,21,325438.56499999994,4.93176792850104,0.7142857142857143
V029|PULLBACK|TRAIL_AVG|10M|0T,2026,14,-114767.89749999958,0.46885554994335,0.5
V029|PULLBACK|TRAIL_AVG|10M|1T,2023,5,21200.77999999991,9.0696015590502,0.8
V029|PULLBACK|TRAIL_AVG|10M|1T,2024,30,-31129.571999999345,0.9115089279942542,0.5
V029|PULLBACK|TRAIL_AVG|10M|1T,2025,21,278376.89749999944,3.854953017434003,0.6666666666666666
V029|PULLBACK|TRAIL_AVG|10M|1T,2026,13,-100757.0999999996,0.48694680978255106,0.46153846153846156
V029|PULLBACK|TRAIL_AVG|10M|2T,2023,5,14306.87499999997,2.9647942111743055,0.4
V029|PULLBACK|TRAIL_AVG|10M|2T,2024,29,-19531.136500000983,0.9496799460436527,0.5517241379310345
V029|PULLBACK|TRAIL_AVG|10M|2T,2025,21,229032.79000000062,2.939816698321109,0.6666666666666666
V029|PULLBACK|TRAIL_AVG|10M|2T,2026,13,-109825.10000000038,0.4551212711903734,0.46153846153846156
V029|PULLBACK|TRAIL_AVG|20M|0T,2023,5,78580.40499999968,63.486406215207374,0.8
