strategy,regime_mode,add_policy,max_hold,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,086790.KS,086790,KOSPI,하나금융지주,KRLEVEL_RR|086790|2T|1517|1523|1525,2024-08-22 05:00:00+00:00,5000000,1,817725.9501661307,49542.355299999996,62095.296853836306,62095.296853836306,66000.0,66100.0,4004.7031461636943,65500.0,2,0,793318.98,762909.4199999999,793200.0,764400.0,233.64,1375.92,False,False,1527,26,63800.0,0.7990604754475847,-0.9988255943094809,69300.0,0.038392279839648255,47,False,2024-08-29 00:00:00+00:00,63800.0,time,TIME,-30409.560000000056,1,"[{""time"": ""2024-08-22 05:00:00+00:00"", ""raw_price"": 66000.0, ""price"": 66100.0, ""shares"": 12, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-08-29 00:00:00+00:00"", ""raw_price"": 63800.0, ""price"": 63700.0, ""shares"": 12, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 114.66, ""stt"": 229.32, ""rural_tax"": 1146.6000000000001}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,000660.KS,000660,KOSPI,SK하이닉스,KRLEVEL_RR|000660|2T|2121|2127|2128,2025-01-23 04:00:00+00:00,5000000,1,405582.37990683323,49238.25969999999,197245.39070166406,197245.39070166406,224000.0,224500.0,27254.60929833594,219500.0,2,0,224533.675,196575.115,224500.0,196900.0,63.209999999999994,295.35,False,False,2130,8,197000.0,0.09172760367372576,-0.2568372902864321,227000.0,0.06,51,False,2025-01-31 00:00:00+00:00,197000.0,gap_stop,LOSS,-27958.559999999998,1,"[{""time"": ""2025-01-23 04:00:00+00:00"", ""raw_price"": 224000.0, ""price"": 224500.0, ""shares"": 1, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-01-31 00:00:00+00:00"", ""raw_price"": 197000.0, ""price"": 196900.0, ""shares"": 1, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 29.534999999999997, ""stt"": 0.0, ""rural_tax"": 295.35}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,373220.KS,373220,KOSPI,LG에너지솔루션,KRLEVEL_RR|373220|2T|2336|2338|2339,2025-03-20 05:00:00+00:00,5000000,1,979173.4819999998,31608.108935905308,324186.06693483936,324186.06693483936,334500.0,335000.0,10813.933065160643,332500.0,2,0,670100.5,645932.45,670000.0,647000.0,197.54999999999998,970.5,False,False,2341,2,334000.0,0.0924732929244504,-0.1387099393866756,336000.0,0.06,50,False,2025-03-21 00:00:00+00:00,324186.06693483936,stop,LOSS,-24168.050000000047,1,"[{""time"": ""2025-03-20 05:00:00+00:00"", ""raw_price"": 334500.0, ""price"": 335000.0, ""shares"": 2, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-03-21 00:00:00+00:00"", ""raw_price"": 324186.06693483936, ""price"": 323500.0, ""shares"": 2, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 97.05, ""stt"": 0.0, ""rural_tax"": 970.5}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,034020.KS,034020,KOSPI,두산에너빌리티,KRLEVEL_RR|034020|7T|2525|2530|2532,2025-05-09 00:00:00+00:00,5000000,1,443952.73681517114,48716.993599999994,25016.45662558461,30785.0,28050.0,28100.0,3083.543374415389,27100.0,7,0,421563.225,473217.9,421500.0,474000.0,134.325,711.0,False,False,2534,26,31650.0,1.5080053806220892,-0.16215111619592357,32750.0,0.06,60,True,2025-05-15 01:00:00+00:00,31650.0,time,TIME,51654.67500000005,1,"[{""time"": ""2025-05-09 00:00:00+00:00"", ""raw_price"": 28050.0, ""price"": 28100.0, ""shares"": 15, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-05-15 01:00:00+00:00"", ""raw_price"": 31650.0, ""price"": 31600.0, ""shares"": 15, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 71.1, ""stt"": 0.0, ""rural_tax"": 711.0}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,018260.KS,018260,KOSPI,삼성에스디에스,KRLEVEL_RR|018260|2T|2541|2543|2545,2025-05-13 01:00:00+00:00,5000000,1,978377.227,24412.081123481963,126853.79632056276,130100.0,130000.0,130100.0,3246.2036794372398,129450.0,2,0,910836.605,927367.3150000001,910700.0,928900.0,275.93999999999994,1393.3500000000001,False,False,2547,26,132800.0,1.0473772861317878,-0.5544938573638876,133500.0,0.03951363036844529,56,True,2025-05-19 02:00:00+00:00,132800.0,time,TIME,16530.71000000008,1,"[{""time"": ""2025-05-13 01:00:00+00:00"", ""raw_price"": 130000.0, ""price"": 130100.0, ""shares"": 7, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-05-19 02:00:00+00:00"", ""raw_price"": 132800.0, ""price"": 132700.0, ""shares"": 7, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 139.33499999999998, ""stt"": 0.0, ""rural_tax"": 1393.3500000000001}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|4T|2613|2619|2620,2025-05-29 04:00:00+00:00,5000000,1,987976.949,44825.73785803171,118087.57778847883,127108.58862809255,123600.0,123700.0,5612.422211521174,123300.0,4,0,866029.885,918981.175,865900.0,920500.0,267.96,1380.75,False,False,2622,26,131600.0,1.7104914131893232,-0.6236166610586075,133300.0,0.046447197088577995,59,True,2025-06-05 05:00:00+00:00,131600.0,time,TIME,52951.29000000004,1,"[{""time"": ""2025-05-29 04:00:00+00:00"", ""raw_price"": 123600.0, ""price"": 123700.0, ""shares"": 7, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-06-05 05:00:00+00:00"", ""raw_price"": 131600.0, ""price"": 131500.0, ""shares"": 7, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 138.075, ""stt"": 0.0, ""rural_tax"": 1380.75}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,068270.KS,068270,KOSPI,셀트리온,KRLEVEL_RR|068270|2T|2657|2663|2665,2025-06-12 01:00:00+00:00,5000000,1,998567.207,25173.57705250072,150312.6646716573,150312.6646716573,154095.25,154200.0,3887.335328342713,153523.8203125,2,0,925338.78,923074.41,925200.0,924600.0,277.47,1386.9,False,False,2667,26,154285.71875,0.8795388643401773,-0.663938895670299,157619.0625,0.043162746976940634,58,False,2025-06-18 02:00:00+00:00,154285.71875,time,TIME,-2264.3699999999953,1,"[{""time"": ""2025-06-12 01:00:00+00:00"", ""raw_price"": 154095.25, ""price"": 154200.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-06-18 02:00:00+00:00"", ""raw_price"": 154285.71875, ""price"": 154100.0, ""shares"": 6, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 138.69, ""stt"": 0.0, ""rural_tax"": 1386.9}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,010950.KS,010950,KOSPI,S-Oil,KRLEVEL_RR|010950|3T|2780|2782|2783,2025-07-09 05:00:00+00:00,5000000,1,998114.3330000001,41719.66162639115,60845.796542853735,60845.796542853735,63400.0,63500.0,2654.2034571462646,63100.0,3,0,952642.875,946435.8,952500.0,948000.0,285.075,1422.0,False,False,2785,26,63300.0,0.3767608686167472,-0.3014086948933978,64500.0,0.0367110369428749,43,False,2025-07-16 00:00:00+00:00,63300.0,time,TIME,-6207.074999999953,1,"[{""time"": ""2025-07-09 05:00:00+00:00"", ""raw_price"": 63400.0, ""price"": 63500.0, ""shares"": 15, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-07-16 00:00:00+00:00"", ""raw_price"": 63300.0, ""price"": 63200.0, ""shares"": 15, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 142.2, ""stt"": 0.0, ""rural_tax"": 1422.0}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,003490.KS,003490,KOSPI,대한항공,KRLEVEL_RR|003490|2T|2778|2782|2784,2025-07-10 00:00:00+00:00,5000000,1,997785.758,27272.61071975819,23295.371467270223,25588.92678182384,23900.0,23950.0,654.6285327297774,23775.0,2,0,982097.2925,1068334.3350000002,981950.0,1070100.0,307.8075,1605.15,False,False,2786,26,26150.0,4.277234889723033,-0.22913758337801962,26750.0,0.04340460628695921,50,True,2025-07-16 01:00:00+00:00,26150.0,time,TIME,86237.04250000021,1,"[{""time"": ""2025-07-10 00:00:00+00:00"", ""raw_price"": 23900.0, ""price"": 23950.0, ""shares"": 41, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-07-16 01:00:00+00:00"", ""raw_price"": 26150.0, ""price"": 26100.0, ""shares"": 41, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 160.515, ""stt"": 0.0, ""rural_tax"": 1605.15}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|2T|2895|2897|2898,2025-08-06 02:00:00+00:00,5000000,1,913357.9100552723,50706.016325000004,410850.5216207738,410850.5216207738,434500.0,435000.0,24149.478379226173,432500.0,2,0,870130.5,876551.3,870000.0,878000.0,262.2,1317.0,False,False,2902,26,439500.0,0.47620076174781945,-0.1242262856733442,446500.0,0.03848503001045374,56,False,2025-08-12 03:00:00+00:00,439500.0,time,TIME,6420.800000000047,1,"[{""time"": ""2025-08-06 02:00:00+00:00"", ""raw_price"": 434500.0, ""price"": 435000.0, ""shares"": 2, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-08-12 03:00:00+00:00"", ""raw_price"": 439500.0, ""price"": 439000.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 131.7, ""stt"": 0.0, ""rural_tax"": 1317.0}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,034020.KS,034020,KOSPI,두산에너빌리티,KRLEVEL_RR|034020|2T|3069|3070|3071,2025-09-16 05:00:00+00:00,5000000,1,740258.0324175793,50770.224325,58213.46897790562,58213.46897790562,62400.0,62500.0,4286.531022094379,61300.0,2,0,687603.125,705034.7699999999,687500.0,706200.0,209.05499999999998,1059.3,False,False,3073,26,64350.0,0.4432488625899805,-0.4432488625899805,64400.0,0.06,53,False,2025-09-23 00:00:00+00:00,64350.0,time,TIME,17431.644999999902,1,"[{""time"": ""2025-09-16 05:00:00+00:00"", ""raw_price"": 62400.0, ""price"": 62500.0, ""shares"": 11, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-09-23 00:00:00+00:00"", ""raw_price"": 64350.0, ""price"": 64200.0, ""shares"": 11, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 105.92999999999999, ""stt"": 0.0, ""rural_tax"": 1059.3}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,086790.KS,086790,KOSPI,하나금융지주,KRLEVEL_RR|086790|2T|3201|3205|3206,2025-10-24 03:00:00+00:00,5000000,1,1018890.8155,15388.251890321553,86867.92025594978,88200.0,88100.0,88200.0,1332.079744050221,88000.0,2,0,970345.53,967500.985,970200.0,969100.0,290.895,1453.65,False,False,3209,5,89100.0,1.6515527766459732,-0.4504234845398109,90400.0,0.03471444568868981,51,True,2025-10-27 01:00:00+00:00,88200.0,stop,BE_OR_WIN,-2844.545000000042,1,"[{""time"": ""2025-10-24 03:00:00+00:00"", ""raw_price"": 88100.0, ""price"": 88200.0, ""shares"": 11, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2025-10-27 01:00:00+00:00"", ""raw_price"": 88200.0, ""price"": 88100.0, ""shares"": 11, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 145.36499999999998, ""stt"": 0.0, ""rural_tax"": 1453.65}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,033780.KS,033780,KOSPI,KT&G,KRLEVEL_RR|033780|5T|3552|3555|3556,2026-01-20 01:00:00+00:00,5000000,1,1018321.9065,31545.30068773868,142640.0781996384,142640.0781996384,147100.0,147200.0,4559.921800361597,145000.0,5,0,883332.48,853161.75,883200.0,855000.0,260.73,1710.0,False,False,3559,26,142700.0,0.21930200643368514,-0.9868590289515831,148200.0,0.03203342618384401,51,False,2026-01-26 02:00:00+00:00,142640.0781996384,stop,LOSS,-30170.72999999998,1,"[{""time"": ""2026-01-20 01:00:00+00:00"", ""raw_price"": 147100.0, ""price"": 147200.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-01-26 02:00:00+00:00"", ""raw_price"": 142640.0781996384, ""price"": 142500.0, ""shares"": 6, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 128.25, ""stt"": 427.5, ""rural_tax"": 1282.5}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,035420.KS,035420,KOSPI,NAVER,KRLEVEL_RR|035420|2T|3585|3586|3587,2026-01-27 01:00:00+00:00,5000000,1,457324.9102430013,50614.388025,258348.94198426727,258348.94198426727,290000.0,290500.0,32151.058015732735,269750.0,2,0,290543.575,265927.025,290500.0,266500.0,83.54999999999998,533.0,False,False,3589,26,267000.0,0.031103175500808152,-0.7931309752706079,291500.0,0.06,52,False,2026-02-03 02:00:00+00:00,267000.0,time,TIME,-24616.54999999999,1,"[{""time"": ""2026-01-27 01:00:00+00:00"", ""raw_price"": 290000.0, ""price"": 290500.0, ""shares"": 1, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-02-03 02:00:00+00:00"", ""raw_price"": 267000.0, ""price"": 266500.0, ""shares"": 1, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 39.974999999999994, ""stt"": 133.25, ""rural_tax"": 399.75}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|5T|3603|3604|3605,2026-01-30 01:00:00+00:00,5000000,1,1009979.0455,41087.11800631551,478700.10172339616,478700.10172339616,498500.0,499000.0,20299.89827660384,493000.0,5,0,998149.7,1007828.5,998000.0,1010000.0,301.2,2020.0,False,False,3607,26,506000.0,0.8374426200742564,-0.6403972977038431,516000.0,0.039938650306748466,56,False,2026-02-06 02:00:00+00:00,506000.0,time,TIME,9678.800000000047,1,"[{""time"": ""2026-01-30 01:00:00+00:00"", ""raw_price"": 498500.0, ""price"": 499000.0, ""shares"": 2, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2026-02-06 02:00:00+00:00"", ""raw_price"": 506000.0, ""price"": 505000.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 151.5, ""stt"": 505.0, ""rural_tax"": 1515.0}]"
