Datetime,breadth20,coverage20,ks_close,ks_ema5,ks_ema20
2024-03-26 11:00:00+09:00,0.717948717948718,39.0,2770.659912109375,2760.910878405495,2741.9443396986967
2024-03-26 12:00:00+09:00,0.5128205128205128,39.0,2757.56005859375,2759.793938468247,2743.431551022035
2024-03-26 13:00:00+09:00,0.46153846153846156,39.0,2757.919921875,2759.169266270498,2744.8113958651747
2024-03-26 14:00:00+09:00,0.358974358974359,39.0,2755.659912109375,2757.999481550124,2745.8445878884318
2024-03-27 09:00:00+09:00,0.41025641025641024,39.0,2758.199951171875,2758.0663047573744,2747.0212891535216
2024-03-27 10:00:00+09:00,0.38461538461538464,39.0,2755.389892578125,2757.1741673642914,2747.818299003484
2024-03-27 11:00:00+09:00,0.46153846153846156,39.0,2754.93994140625,2756.4294253782778,2748.4965506608905
2024-03-27 12:00:00+09:00,0.41025641025641024,39.0,2754.090087890625,2755.649646215727,2749.029268492294
2024-03-27 13:00:00+09:00,0.4358974358974359,39.0,2758.070068359375,2756.456453596943,2749.8902970510635
2024-03-27 14:00:00+09:00,0.41025641025641024,39.0,2753.93994140625,2755.6176162000456,2750.275977465843
2024-03-28 09:00:00+09:00,0.38461538461538464,39.0,2748.8798828125,2753.3717050708638,2750.1430160702866
2024-03-28 10:00:00+09:00,0.3076923076923077,39.0,2747.35009765625,2751.364502599326,2749.8770238403786
2024-03-28 11:00:00+09:00,0.3076923076923077,39.0,2748.800048828125,2750.5096846755923,2749.7744547915927
2024-03-28 12:00:00+09:00,0.28205128205128205,39.0,2751.889892578125,2750.9697539764366,2749.975925056977
2024-03-28 13:00:00+09:00,0.3076923076923077,39.0,2749.050048828125,2750.3298522603327,2749.887746368515
2024-03-28 14:00:00+09:00,0.28205128205128205,39.0,2747.580078125,2749.4132608818886,2749.6679684405613
2024-03-29 09:00:00+09:00,0.2564102564102564,39.0,2753.14990234375,2750.6588080358424,2749.999581193246
2024-03-29 10:00:00+09:00,0.23076923076923078,39.0,2747.580078125,2749.6325647322283,2749.7691523296035
2024-03-29 11:00:00+09:00,0.2564102564102564,39.0,2751.47998046875,2750.248369977736,2749.932088342856
2024-03-29 12:00:00+09:00,0.20512820512820512,39.0,2749.3701171875,2749.9556190476574,2749.878567280441
2024-03-29 13:00:00+09:00,0.1794871794871795,39.0,2747.800048828125,2749.237095641147,2749.6806131421254
2024-03-29 14:00:00+09:00,0.28205128205128205,39.0,2751.0400390625,2749.838076781598,2749.810082277399
2024-04-01 09:00:00+09:00,0.28205128205128205,39.0,2757.77001953125,2752.4820576981488,2750.5681715396704
2024-04-01 10:00:00+09:00,0.23076923076923078,39.0,2755.77001953125,2753.5780449758495,2751.0635856341064
2024-04-01 11:00:00+09:00,0.2564102564102564,39.0,2754.6201171875,2753.925402379733,2751.4023029249056
2024-04-01 12:00:00+09:00,0.28205128205128205,39.0,2757.780029296875,2755.2102780187806,2752.0097054365215
2024-04-01 13:00:00+09:00,0.2564102564102564,39.0,2752.97998046875,2754.4668455021038,2752.1021125824477
2024-04-01 14:00:00+09:00,0.3076923076923077,39.0,2748.8701171875,2752.601269397236,2751.794303497215
2024-04-02 09:00:00+09:00,0.23076923076923078,39.0,2749.580078125,2751.5942056398244,2751.5834248903375
2024-04-02 10:00:00+09:00,0.2564102564102564,39.0,2753.179931640625,2752.1227809734246,2751.7354731522696
2024-04-02 11:00:00+09:00,0.20512820512820512,39.0,2757.639892578125,2753.9618181749915,2752.297798811875
