market,symbol,name,yf_ticker,bars,setups,first_bar,last_bar,status
KOSDAQ,145020,휴젤,145020.KQ,4366,83,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,310210,보로노이,310210.KQ,4366,84,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,080220,제주반도체,080220.KQ,4366,60,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,440110,파두,440110.KQ,0,0,,,FAIL
KOSDAQ,403870,HPSP,403870.KQ,4366,67,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,214150,클래시스,214150.KQ,4366,66,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,095340,ISC,095340.KQ,4366,73,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,347850,디앤디파마텍,347850.KQ,0,0,,,FAIL
KOSDAQ,226950,올릭스,226950.KQ,4366,77,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,084370,유진테크,084370.KQ,4366,75,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,095610,테스,095610.KQ,4366,62,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,319400,현대무벡스,319400.KQ,4360,66,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,131290,티에스이,131290.KQ,4366,74,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,257720,실리콘투,257720.KQ,4366,82,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,357780,솔브레인,357780.KQ,4361,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,178320,서진시스템,178320.KQ,4342,65,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,058610,에스피지,058610.KQ,4366,64,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,263750,펄어비스,263750.KQ,4366,65,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,067310,하나마이크론,067310.KQ,4366,69,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,064760,티씨케이,064760.KQ,4366,84,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,237690,에스티팜,237690.KQ,4366,76,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,031980,피에스케이홀딩스,031980.KQ,4366,77,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
