market,month,ticker,momentum63,rank,universe_count,eligible
KR,2022-07-01,117700.KS,-0.21196840066650324,6,8,False
KR,2022-07-01,091170.KS,-0.23955794233874805,7,8,False
KR,2022-07-01,091160.KS,-0.25388583281677934,8,8,False
KR,2022-08-01,091180.KS,0.010482094631262484,1,8,True
KR,2022-08-01,140700.KS,-0.10174747045037746,2,8,False
KR,2022-08-01,140710.KS,-0.10261182330913154,3,8,False
KR,2022-08-01,102970.KS,-0.1415303408989168,4,8,False
KR,2022-08-01,117700.KS,-0.1453560812262168,5,8,False
KR,2022-08-01,117680.KS,-0.20787851396838775,6,8,False
KR,2022-08-01,091160.KS,-0.20958244574332308,7,8,False
KR,2022-08-01,091170.KS,-0.2391032885401856,8,8,False
KR,2022-09-01,091180.KS,-0.012332557226397256,1,8,False
KR,2022-09-01,117700.KS,-0.03937004525672516,2,8,False
KR,2022-09-01,140700.KS,-0.04472138154474259,3,8,False
KR,2022-09-01,117680.KS,-0.07949540434558644,4,8,False
KR,2022-09-01,102970.KS,-0.1480686038839497,5,8,False
KR,2022-09-01,140710.KS,-0.16982617069657768,6,8,False
KR,2022-09-01,091160.KS,-0.20098600015343504,7,8,False
KR,2022-09-01,091170.KS,-0.20676192094177548,8,8,False
KR,2022-10-01,117680.KS,-0.03790483284723867,1,8,False
KR,2022-10-01,091180.KS,-0.05528357474434875,2,8,False
KR,2022-10-01,140700.KS,-0.06509807817583912,3,8,False
KR,2022-10-01,117700.KS,-0.07246374671349742,4,8,False
KR,2022-10-01,091170.KS,-0.1292404953723758,5,8,False
KR,2022-10-01,102970.KS,-0.13702128985921236,6,8,False
KR,2022-10-01,091160.KS,-0.18582451649938303,7,8,False
KR,2022-10-01,140710.KS,-0.20475318984655866,8,8,False
KR,2022-11-01,117680.KS,0.030513157268987623,1,8,True
KR,2022-11-01,117700.KS,0.005545289465748837,2,8,True
KR,2022-11-01,140700.KS,0.0015772845997434892,3,8,True
KR,2022-11-01,091170.KS,-0.04409315026422178,4,8,False
KR,2022-11-01,091180.KS,-0.12626530953835957,5,8,False
KR,2022-11-01,102970.KS,-0.13405497169972702,6,8,False
KR,2022-11-01,091160.KS,-0.16740709469610682,7,8,False
KR,2022-11-01,140710.KS,-0.18215609064195104,8,8,False
KR,2022-12-01,140700.KS,0.0802806992152687,1,8,True
KR,2022-12-01,091170.KS,0.07416684459308409,2,8,True
KR,2022-12-01,117680.KS,0.056733160041484654,3,8,True
KR,2022-12-01,102970.KS,0.01623923850547704,4,8,True
KR,2022-12-01,117700.KS,-0.003305758816283144,5,8,False
KR,2022-12-01,091160.KS,-0.0644004657105317,6,8,False
KR,2022-12-01,091180.KS,-0.08206682425961964,7,8,False
KR,2022-12-01,140710.KS,-0.08293613921843879,8,8,False
KR,2023-01-01,140700.KS,0.2006578552961984,1,8,True
KR,2023-01-01,091170.KS,0.14103720560826738,2,8,True
KR,2023-01-01,102970.KS,0.12023457081722144,3,8,True
KR,2023-01-01,117680.KS,0.111032090138244,4,8,True
KR,2023-01-01,140710.KS,0.05649719585521873,5,8,False
KR,2023-01-01,117700.KS,0.02729052810471111,6,8,False
KR,2023-01-01,091160.KS,0.0054470877172585475,7,8,False
KR,2023-01-01,091180.KS,-0.09790010177183694,8,8,False
KR,2023-02-01,091170.KS,0.23759806087089697,1,8,True
KR,2023-02-01,102970.KS,0.2182692743339345,2,8,True
KR,2023-02-01,140700.KS,0.16535425622329614,3,8,True
KR,2023-02-01,140710.KS,0.134090902908933,4,8,True
KR,2023-02-01,117680.KS,0.11843883580246284,5,8,False
KR,2023-02-01,117700.KS,0.11029417618166137,6,8,False
KR,2023-02-01,091160.KS,0.07086435938265834,7,8,False
KR,2023-02-01,091180.KS,0.012804805960929366,8,8,False
KR,2023-03-01,140700.KS,0.1923366445991559,1,9,True
KR,2023-03-01,445290.KS,0.17607329172586783,2,9,True
KR,2023-03-01,102970.KS,0.1215518081965854,3,9,True
KR,2023-03-01,091170.KS,0.08943136235026161,4,9,True
KR,2023-03-01,091180.KS,0.0891210447132198,5,9,True
KR,2023-03-01,140710.KS,0.0698923876314812,6,9,False
KR,2023-03-01,091160.KS,0.05222368180116055,7,9,False
KR,2023-03-01,117680.KS,0.04736221526081774,8,9,False
KR,2023-03-01,117700.KS,-0.006700199381944105,9,9,False
KR,2023-04-01,445290.KS,0.3484694523375256,1,9,True
KR,2023-04-01,091160.KS,0.281284368174771,2,9,True
KR,2023-04-01,117700.KS,0.20934593910785426,3,9,True
KR,2023-04-01,091180.KS,0.15787790444726046,4,9,True
KR,2023-04-01,117680.KS,0.13126905016708967,5,9,True
KR,2023-04-01,102970.KS,0.02116855482699087,6,9,False
KR,2023-04-01,140710.KS,0.01238379997786665,7,9,False
KR,2023-04-01,140700.KS,0.010840170291910312,8,9,False
KR,2023-04-01,091170.KS,-0.01891250998351679,9,9,False
KR,2023-05-01,117700.KS,0.2035526354751449,1,9,True
KR,2023-05-01,091180.KS,0.11542588242012064,2,9,True
KR,2023-05-01,117680.KS,0.10302327510642328,3,9,True
KR,2023-05-01,091160.KS,0.09422234388437478,4,9,True
KR,2023-05-01,140700.KS,0.08795663139160848,5,9,True
KR,2023-05-01,445290.KS,0.0741187345986416,6,9,False
KR,2023-05-01,102970.KS,-0.04681058404165417,7,9,False
KR,2023-05-01,140710.KS,-0.07821206851022389,8,9,False
KR,2023-05-01,091170.KS,-0.14796736667898513,9,9,False
KR,2023-06-01,091160.KS,0.1748291082039517,1,9,True
KR,2023-06-01,117700.KS,0.16683897520850421,2,9,True
KR,2023-06-01,445290.KS,0.11436398836698114,3,9,True
KR,2023-06-01,091180.KS,0.07869699976961875,4,9,True
KR,2023-06-01,102970.KS,-0.002196862381792286,5,9,False
KR,2023-06-01,140700.KS,-0.004705046304724014,6,9,False
KR,2023-06-01,117680.KS,-0.02287396689759269,7,9,False
KR,2023-06-01,091170.KS,-0.03905718858714691,8,9,False
KR,2023-06-01,140710.KS,-0.08516156841918554,9,9,False
KR,2023-07-01,091160.KS,0.19466648946027498,1,9,True
KR,2023-07-01,091180.KS,0.14696999124981702,2,9,True
KR,2023-07-01,117700.KS,0.1260377364702474,3,9,True
KR,2023-07-01,140700.KS,0.05224754618988525,4,9,True
KR,2023-07-01,102970.KS,0.05061208761331093,5,9,True
KR,2023-07-01,140710.KS,0.043609133113998055,6,9,False
KR,2023-07-01,117680.KS,0.036089590680473904,7,9,False
KR,2023-07-01,091170.KS,0.025003049731405547,8,9,False
KR,2023-07-01,445290.KS,-0.018950734927083657,9,9,False
KR,2023-08-01,091160.KS,0.23137455458907707,1,9,True
KR,2023-08-01,117700.KS,0.20120985227652377,2,9,True
KR,2023-08-01,117680.KS,0.11417355243502758,3,9,True
KR,2023-08-01,091180.KS,0.07415385399692864,4,9,True
KR,2023-08-01,140700.KS,0.05804868236156091,5,9,True
KR,2023-08-01,091170.KS,0.04771974134232737,6,9,False
