market,ticker,entry_mode,signal_i,signal_date,entry_date,momentum63,momentum_rank,universe_count,asset_60m_regime,market_60m_regime,daily_strict_stack,intraday_strict_stack,signal_close,signal_atr14,signal_rsi14,entry_price,initial_stop,risk_price,risk_pct,exit_i,exit_date,exit_price,exit_reason,hold_days,gross_r,net_r,mfe_r,mae_r,cost_label,cost_bps_each_side,evaluation_window
KR,102970.KS,DAILY_5_20_CROSS,1045,2025-12-23,2025-12-24,0.18030181345088714,3,9,False,True,True,False,15076.3984375,451.4076576778042,55.78147647176306,15076.398494944853,14173.583179589245,902.8153153556086,0.05988269119168775,1049,2025-12-30,14924.556640625,WINDOW_END,4,-0.16818706078335013,-0.20141750628565402,0.24414224993879433,-0.38520171088475896,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,102970.KS,DAILY_5_20_CROSS,1116,2026-04-10,2026-04-13,0.6049383115890472,2,9,False,False,True,False,27071.880859375,1514.6081121944687,55.930149088506035,26474.31273686009,23700.482658502493,2773.830078357598,0.10477439418080169,1131,2026-05-04,27112.659136456405,MA20_NEXT_OPEN,15,0.23013176062114185,0.2108129954626626,1.0012263682792486,-0.012360817186402336,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,140700.KS,DAILY_5_20_CROSS,961,2025-08-20,2025-08-21,0.35270544618132815,4,9,False,False,True,False,11308.4453125,239.81399476978223,50.73908162651835,11381.844681682182,10994.039640859239,387.80504082294283,0.034072248538681266,988,2025-09-26,12130.521968523277,MA20_NEXT_OPEN,27,1.930550684055995,1.9002360102184515,3.5835042352171533,-0.23974143225055616,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,140700.KS,DAILY_5_20_CROSS,1014,2025-11-10,2025-11-11,0.056238991160660445,5,9,False,True,True,False,12805.7978515625,303.0620125866385,65.07726349745151,12810.691698728773,12204.567673555495,606.1240251732779,0.04731391867259007,1019,2025-11-17,12204.567673555495,INITIAL_STOP,5,-1.0,-1.020635429659081,0.6619956739241166,-1.1383088720744499,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,140700.KS,DAILY_5_20_CROSS,1118,2026-04-14,2026-04-15,0.16034088123903345,5,9,False,False,True,False,15854.33203125,614.3386610283258,56.10597667490718,16064.744685194437,14836.067363137785,1228.677322056652,0.0764828415349186,1165,2026-06-24,19698.07893002805,MA20_NEXT_OPEN,47,2.957110202662376,2.942556819535161,5.0500001047692065,-0.3703800013905406,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,140700.KS,DAILY_5_20_CROSS,1187,2026-07-27,2026-07-28,0.23371016432814873,2,9,False,False,True,False,19243.69921875,887.6287350186302,50.37441594761467,18754.368266409663,17758.518770794202,995.8494956154609,0.05309960226168185,1189,2026-07-29,18290.0036963321,MA20_NEXT_OPEN,2,-0.4662999500648176,-0.48489933286605474,0.1253496590539767,-0.6117063361834085,BASE_5BP_SIDE,5.0,STRESS_2026_07_PLUS
KR,140700.KS,DAILY_5_20_CROSS,961,2025-08-20,2025-08-21,0.35270544618132815,4,9,False,False,True,False,11308.4453125,239.81399476978223,50.73908162651835,11381.844681682182,10994.039640859239,387.80504082294283,0.034072248538681266,988,2025-09-26,12130.521968523277,MA20_NEXT_OPEN,27,1.930550684055995,1.8699213363809082,3.5835042352171533,-0.23974143225055616,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,140700.KS,DAILY_5_20_CROSS,1014,2025-11-10,2025-11-11,0.056238991160660445,5,9,False,True,True,False,12805.7978515625,303.0620125866385,65.07726349745151,12810.691698728773,12204.567673555495,606.1240251732779,0.04731391867259007,1019,2025-11-17,12204.567673555495,INITIAL_STOP,5,-1.0,-1.0412708593181617,0.6619956739241166,-1.1383088720744499,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,140700.KS,DAILY_5_20_CROSS,1118,2026-04-14,2026-04-15,0.16034088123903345,5,9,False,False,True,False,15854.33203125,614.3386610283258,56.10597667490718,16064.744685194437,14836.067363137785,1228.677322056652,0.0764828415349186,1165,2026-06-24,19698.07893002805,MA20_NEXT_OPEN,47,2.957110202662376,2.9280034364079457,5.0500001047692065,-0.3703800013905406,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,140700.KS,DAILY_5_20_CROSS,1187,2026-07-27,2026-07-28,0.23371016432814873,2,9,False,False,True,False,19243.69921875,887.6287350186302,50.37441594761467,18754.368266409663,17758.518770794202,995.8494956154609,0.05309960226168185,1189,2026-07-29,18290.0036963321,MA20_NEXT_OPEN,2,-0.4662999500648176,-0.5034987156672919,0.1253496590539767,-0.6117063361834085,STRESS_10BP_SIDE,10.0,STRESS_2026_07_PLUS
