market,symbol,name,yf_ticker,marcap_snapshot,universe_source,frozen_at_utc
KOSPI,000150,두산,000150.KS,19724091030000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.920006+00:00
KOSPI,051910,LG화학,051910.KS,19483486668000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.920083+00:00
KOSPI,042700,한미반도체,042700.KS,19443688800000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.920151+00:00
KOSPI,033780,KT&G,033780.KS,19101123904000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.920220+00:00
KOSDAQ,196170,알테오젠,196170.KQ,18460495163500,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.481890+00:00
KOSDAQ,086520,에코프로,086520.KQ,12450673138400,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482026+00:00
KOSDAQ,247540,에코프로비엠,247540.KQ,11005923825000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482106+00:00
KOSDAQ,277810,레인보우로보틱스,277810.KQ,9321631769000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482181+00:00
KOSDAQ,036930,주성엔지니어링,036930.KQ,6642152190900,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482254+00:00
KOSDAQ,028300,HLB,028300.KQ,5314609097700,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482325+00:00
KOSDAQ,058470,리노공업,058470.KQ,5311965945000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482394+00:00
KOSDAQ,298380,에이비엘바이오,298380.KQ,5246025283100,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482465+00:00
KOSDAQ,240810,원익IPS,240810.KQ,4741504836600,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482534+00:00
KOSDAQ,141080,리가켐바이오,141080.KQ,4434926276400,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482603+00:00
KOSDAQ,000250,삼천당제약,000250.KQ,4384201516800,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482674+00:00
KOSDAQ,039030,이오테크닉스,039030.KQ,4379600025000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482743+00:00
KOSDAQ,222800,심텍,222800.KQ,4323337637400,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482811+00:00
KOSDAQ,087010,펩트론,087010.KQ,4271738520000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482879+00:00
KOSDAQ,214450,파마리서치,214450.KQ,4228586736000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.482968+00:00
KOSDAQ,319660,피에스케이,319660.KQ,3771466162800,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483047+00:00
KOSDAQ,214370,케어젠,214370.KQ,3765421500000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483117+00:00
KOSDAQ,108490,로보티즈,108490.KQ,3599282374000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483187+00:00
KOSDAQ,145020,휴젤,145020.KQ,3435414988500,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483255+00:00
