date,equity,state,strategy,cost_bps_side
2011-03-17,9985.250850653256,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-18,10084.758377830649,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-21,10606.218807501322,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-22,10357.423785869902,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-23,10638.055115040897,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-24,11422.230591132902,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-25,11326.694291526783,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-28,11380.43297118045,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-29,11692.912340885618,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-30,11730.71761387652,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-03-31,11432.176259552982,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-01,11032.130422371636,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-04,10747.524736830806,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-05,11448.108884016105,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-06,12009.366849160255,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-07,11834.21983461438,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-08,11543.639708224744,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-11,11233.15885859927,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-12,10544.514988915547,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-13,10634.076065473222,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-14,10655.967486792357,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-15,10866.940809240437,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-18,10285.775863263329,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-19,10409.18037163631,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-20,11742.661020176654,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-21,11710.823930437438,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-25,11744.655629258148,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-26,12309.89420836925,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-27,12307.909767883073,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-28,12063.101617815724,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-04-29,12240.236201646334,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-02,11858.09882521825,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-03,11420.235982051403,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-04,11440.14296288436,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-05,11509.797840808717,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-06,11762.56565441069,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-09,11661.06430035144,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-10,11812.329195494884,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-11,11541.64666354253,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-12,12015.338943410143,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-13,11549.614149073554,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-16,11060.003324336334,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-17,10659.955140556069,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-18,11261.016898770817,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-19,10980.385569599823,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-20,10878.882651141294,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-23,10210.149673288726,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-24,9979.278756403366,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-25,10241.998496022537,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-26,10530.580884532117,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-27,10904.760161824855,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
2011-05-31,11394.370204362436,LEVER,SOXL|SIG_SELF|BAND_0|OFF_BASE,10.0
